dist,Boston,New York,Chicago,Boston2,New York2,Chicago2
5K,18.61,18.61,18.61,17.72,17.72,17.72
10K,17.29,17.29,17.29,14.06,14.06,14.06
15K,15.89,15.89,15.89,11.81,11.81,11.81
20K,14.02,14.02,14.02,10.33,10.33,10.33
25K,11.95,11.95,11.95,8.25,8.25,8.25
30K,8.65,8.65,8.65,6.12,6.12,6.12
35K,5.06,5.06,5.06,3.80,3.80,3.80
40K,1.42,1.42,1.42,1.01,1.01,1.01


dist
18.615191
17.291828
15.897037
14.020299
11.950760
8.656990
5.064452
1.420839
Name: extrap, dtype: float64
