"","beta.1.1","beta.2.1","beta.3.1","beta.4.1","beta.5.1","beta.6.1","beta.7.1","beta.8.1","beta.1.2","beta.2.2","beta.3.2","beta.4.2","beta.5.2","beta.6.2","beta.7.2","beta.8.2","beta.1.3","beta.2.3","beta.3.3","beta.4.3","beta.5.3","beta.6.3","beta.7.3","beta.8.3","beta.1.4","beta.2.4","beta.3.4","beta.4.4","beta.5.4","beta.6.4","beta.7.4","beta.8.4","beta.1.5","beta.2.5","beta.3.5","beta.4.5","beta.5.5","beta.6.5","beta.7.5","beta.8.5","sigma.1","sigma.2","sigma.3","sigma.4","sigma.5","sigma.6","sigma.7","sigma.8","lp__"
"1",-0.117425099482997,0.00919444679138089,-0.071613713633615,0.0916784745216712,0.0919657356316812,0.0700702178304097,0.0592838896954041,0.0156208277510795,1.18600114295385,-0.0174167281881181,-0.0436014772704106,0.248143353640499,0.49659142004455,0.654206154960814,0.801980886899526,0.948615108176451,-0.218383184309898,0.956703967708008,1.00659330246198,0.675810786408097,0.449820383583349,0.301088434381528,0.176109104543515,0.0485319664387235,-0.0492568226452105,-0.0739103056370586,-0.0632037219706217,-0.0545261734385389,-0.0258306116655733,-0.0189007361511259,-0.0094872880796304,-0.000869492511645144,-0.112498032943657,-0.170579904023585,-0.0143297231860821,0.0249449429632338,0.0322321719907415,-0.00302357309562149,-0.00994840818690816,-0.00945884083846161,0.231426310072575,0.187480983182288,0.153384711601887,0.126161381070951,0.0979272372812101,0.0690455883825286,0.0395849672685422,0.0117107249848928,47522.6481672179
"2",-0.119376773065431,-0.0369466522829315,-0.0470594445593468,0.0763482471290715,0.0983689164056007,0.0786325622381305,0.0610001479753359,0.0197912403416287,1.63099847670517,-0.125306932787243,0.0378425211223997,0.223298172981249,0.499716457045672,0.678101822712839,0.806951256030852,0.947297356435285,-0.671633816751277,1.0680494279786,0.924800706863811,0.713757866747684,0.44540886406932,0.275434383691411,0.171057301515181,0.0494901268871911,-0.0438787614011597,-0.0552947239124551,-0.0678269662037677,-0.063591135736064,-0.0354592767235351,-0.0270343891381944,-0.00977287663582747,-0.00087002972956611,-0.0760962295763732,-0.110118681663801,-0.0603948528588115,0.00764511590940749,0.0387057859512721,-0.00992491459388893,-0.0189007186395674,-0.0152542334288171,0.232270225005283,0.186148671499436,0.159031302014002,0.124871948328979,0.0966221741831264,0.0700482796636594,0.0399325964229082,0.0113871028605835,47536.029386224
"3",-0.0721172966095227,-0.042182213782859,-0.0459126229115246,0.0603034636311885,0.104963064121445,0.0724063449900855,0.0665448392663388,0.0207415525484046,2.08613628090418,-0.0612599211040365,-0.00909781209479574,0.21347112871054,0.48824680517479,0.657599297670307,0.802415084353945,0.946537991444886,-1.12882355715275,1.01068560937737,0.966410033094008,0.722697650168417,0.457648360636756,0.296535593058967,0.17363336480861,0.0496589815639187,-0.0436644054906337,-0.0827319869396419,-0.0687186128933518,-0.0625162643827816,-0.0354672142573805,-0.0242393132061553,-0.00598452821311451,-0.000864864247635444,-0.174369047940252,-0.114051403893141,-0.0231709695388369,0.0548438570701087,0.0202683856772257,-0.00676542788130007,-0.0192501176807742,-0.0141721170219208,0.230961594976575,0.191078710978128,0.158159502906836,0.123101889106179,0.0977167856317862,0.0699902693584915,0.0395951073711747,0.0116127240204126,47534.7622667019
"4",-0.0965104351499627,0.0162463694129193,-0.047062180176869,0.0660344666634196,0.0977879646324739,0.0678778778890253,0.0633629101465534,0.0149793151040991,0.88568830199515,-0.0382406590092936,-0.0238606000914727,0.223416976922507,0.49732959417394,0.673516782396553,0.804507019393817,0.948051515670385,0.0750632386817173,0.976576878135521,0.983337475365262,0.709937607290256,0.453656335925455,0.283161053859298,0.170774462839206,0.0499246299373053,-0.0646667658987433,-0.0735584557059942,-0.0707866919398482,-0.0549051461764986,-0.0427651957005665,-0.0251420614144346,-0.00734900290290532,-0.000825079165949091,-0.0867651129339256,-0.181778516206907,-0.021698128576976,0.0427840343188843,0.0094462451492049,-0.00716113225532595,-0.00880017958036696,-0.0114285969709939,0.227446541251748,0.182459993893463,0.155831385218244,0.125379246315512,0.0989441815731865,0.0689542525033163,0.0396630159595421,0.0113867748964931,47533.3609105309
"5",-0.14807202251548,-0.017580105299972,-0.0219645863539069,0.0969783875642243,0.100454820177381,0.0633124681460601,0.0601365365206979,0.0159769731353407,0.704069329666741,-0.0738830337557481,0.0343641371595475,0.192018834974483,0.48991817030988,0.664322178684202,0.806219792877064,0.948867952632841,0.271441672169617,1.01543096276273,0.915345705694234,0.731869688822348,0.45702739880329,0.293930313992723,0.17044763103407,0.0480384585562473,-0.0489199029245061,-0.0762784912602658,-0.0614108110554762,-0.0518356253226985,-0.0347193504808436,-0.0226651328964851,-0.00777638951660882,-0.000799570495387382,-0.100715373650931,-0.113161544725042,-0.035015308099139,0.0381400076638612,0.0250362481963788,-0.00720917797332766,-0.0081083977626482,-0.008344489749732,0.226278375367983,0.180630211408507,0.158934337886349,0.121566144988609,0.0955018318243491,0.0693758782169043,0.0398678415314448,0.0116119749512867,47536.5831328874
"6",-0.156040369280614,-0.0174611388381237,-0.0178714320072486,0.109522593155078,0.0805119525364862,0.0640118979436631,0.0610889932599774,0.0196310649987349,0.179371164279947,-0.10688151789443,-0.0323607385136468,0.180641114165607,0.506001969146155,0.671020887115923,0.802035185740549,0.948894566336987,0.793768303403154,1.04724306164755,0.986022139656418,0.742221886689711,0.443976575906664,0.284660829384459,0.174152397526089,0.047360165405455,-0.0584747110800859,-0.064836633523074,-0.0638470231975545,-0.0578623281921442,-0.0369673482474912,-0.0257461653869434,-0.00777516820492758,-0.000235434283828202,-0.0604032241422354,-0.132307367265601,-0.0521053836492446,0.0160942644053833,0.041264518636905,0.00888013626476433,-0.00705611324769606,-0.0137243158077677,0.228203291040584,0.183981964490547,0.159839432658946,0.127841275892611,0.0982103691079561,0.0698196088288162,0.0399402661842819,0.0114133906564471,47539.8155190071
"7",-0.113354115562084,-0.0120119793516953,-0.0812601765809425,0.0775743551277794,0.0995692266984404,0.0802281795920093,0.0599862118359543,0.0153860147694979,1.05520298805137,-0.15693236810608,-0.011049986877461,0.194696531244334,0.489537753410983,0.664488379481127,0.808206196459027,0.948372755501168,-0.0940627829946828,1.08745005469351,0.976847100241966,0.73515366155101,0.458684652939729,0.288654980110305,0.168999622903942,0.0488135682016921,-0.050279710243383,-0.0629961657782625,-0.0583150053710527,-0.0566073985211214,-0.0384738246227836,-0.0252163060848438,-0.00739076029151165,-0.000467048078047394,-0.0891301543134905,-0.0797974630817238,0.0063139626950764,0.0460577507518008,0.024744167088557,-0.0128739578212018,-0.0114405394742888,-0.00883618250453191,0.232678659160833,0.189466868464386,0.155291774843825,0.122776797230016,0.0983903742619581,0.0707976738264431,0.0392993749934449,0.011473439903657,47538.1838270958
"8",-0.188268931721531,-0.064592734333454,-0.0355791614933152,0.0933605169361347,0.0838476949720627,0.0857118272023731,0.0641270494892599,0.0193417602498309,1.73334796747488,-0.0456651275698105,-0.0456181770813311,0.206258396965827,0.489422852786064,0.64032809434846,0.800216297506202,0.946709507921166,-0.751764206484331,1.00053009947587,1.00404760951908,0.718826819754457,0.462847464204808,0.308965945964138,0.175888854681093,0.0495461569439659,-0.0726738975155794,-0.0798426678350617,-0.0600932521369365,-0.0636378950973899,-0.040757064134935,-0.018533101560569,-0.00482561365233557,-0.000495204223599408,-0.0308978024718414,-0.0904567638754266,-0.0630567118949702,0.0466941783522626,0.039563988224523,-0.00734226954147508,-0.012628897348094,-0.0115345047947131,0.228047357398319,0.187080889370389,0.155008075910732,0.124759459765708,0.0980713535392698,0.0686953073178817,0.0401415225154693,0.0114772013791013,47534.679652645
"9",-0.151447179807573,-0.0706714346560686,-0.0304157738684007,0.0821473113480818,0.0860050423415071,0.0757692160369922,0.073690440874745,0.0178224426331549,0.972541830261478,-0.0295609956969942,0.0440884237536942,0.189289019013233,0.490653157831505,0.667224675750262,0.798536918556894,0.949554722560332,0.00963411080386641,0.980693355243855,0.915150355227562,0.741913622711022,0.46122953217261,0.285588070456459,0.175393493080563,0.0468506721635092,-0.0675868616931579,-0.062149234917525,-0.0669324992523671,-0.0612076654661947,-0.0379790809037531,-0.0267303486974439,-0.00471430255363212,-0.000615389217736047,-0.124243699789844,-0.0930094732482691,-0.0834752436713161,0.0349724272932496,0.0343939752361592,0.00224913533585612,-0.0277632648506276,-0.0101185713381167,0.225458885699077,0.185578765965656,0.154615610876562,0.124281982968326,0.0954301570612825,0.0702381129869077,0.0387200766567744,0.0113610276320586,47530.3235536875
"10",-0.131278520180923,-0.0878621536508098,-0.0424052718043576,0.087409589208816,0.0972094106075981,0.0741785854259632,0.0628237548201867,0.0158129327433293,0.541639046890668,-0.111013323391747,-0.0116253066111931,0.231371116598926,0.497678945328211,0.653659366703985,0.807474350424185,0.949291545824741,0.430415525576753,1.07685860997775,0.972054937716834,0.699237957699362,0.450043448704596,0.299175050137924,0.170616396349993,0.0481543004882183,-0.0613734853793509,-0.0867510857657693,-0.0675521160926616,-0.0624272710937259,-0.0370041550049127,-0.0180580480444347,-0.0109979814735288,-0.000715913935694695,-0.0932674174634809,-0.102697957466151,-0.040522885092574,0.0125913587470408,0.0264697199569837,0.00369930896864741,-0.0180308282760034,-0.0110702552475765,0.230481095397632,0.191073997491707,0.154054330568134,0.124384901816452,0.0996340167723905,0.0688824062938803,0.0397954622880328,0.0114571812041712,47535.0319955218
"11",-0.122803117108144,-0.0492488196071869,2.81711179753917e-06,0.106923698963868,0.0852336576324499,0.0705358634991833,0.0653139719812879,0.0175546235556917,0.308373250130963,-0.129078608865909,-0.0261975308836529,0.188774011241056,0.492469765894144,0.659296545768664,0.809209655034382,0.948965198857846,0.653137867006545,1.07626003898813,0.973786673295434,0.735820863574637,0.458172474523734,0.293205868409961,0.165709875685642,0.0479152706870934,-0.0618433691190432,-0.0715328679352473,-0.0682100275573082,-0.0598494599936677,-0.0321325917454566,-0.0250218607711526,-0.00707242956990389,-0.000338642369627935,-0.0463813581408695,-0.0914174683720632,-0.0573746502996913,0.0118121280847988,0.0331787810340765,0.0167413678080968,-0.0161331979697271,-0.0128704411867516,0.228601129715019,0.184838084893197,0.156165817708547,0.124673663160218,0.0993654172883358,0.0718120055714638,0.0394574945916271,0.0114691570878779,47536.984362994
"12",-0.0938301539530345,-0.0683978360944329,-0.0546278790326102,0.0725763636102877,0.0999594416927617,0.0881725825175427,0.0518780247516809,0.0205243003288167,0.261962057629045,-0.0991733939668091,-0.0135335714037021,0.189803231262436,0.475115108774464,0.644622028291093,0.809362327668387,0.945500766801904,0.697189376426579,1.0523808379246,0.972936073160946,0.742949161973807,0.472572790982752,0.30219320281419,0.170239506988315,0.0508845839933559,-0.0506685491001964,-0.063931966318436,-0.070012351206428,-0.0577945613757299,-0.0395177228145481,-0.0197099952363168,-0.00898489904324531,-0.000601026897407835,-0.108986243563581,-0.106961518508946,-0.00937493586487238,0.0368971280483888,0.0336702307097639,0.00325413208204927,-0.00709423546650742,-0.0138302498347937,0.228148392027534,0.187762250160711,0.153271095838092,0.123013762836316,0.098479407036266,0.0703514960366606,0.0408381028499073,0.0112892928194345,47533.5826552483
"13",-0.078405042018589,-0.040987226875508,-0.0287614812696759,0.0709091014284467,0.114476413159672,0.0756218179273986,0.0621854718049018,0.0167873281222668,-0.60477324332108,-0.0959523695658725,-0.0185095597493476,0.190911668898459,0.455302610920717,0.666278601210328,0.806715312693894,0.946865851729705,1.56260086869736,1.0462815110512,0.974910347130439,0.744409551694208,0.488310189594762,0.288145454162109,0.170491564011182,0.0500637237021455,-0.0512764391132003,-0.0754063516123426,-0.0685151071799487,-0.0682970058318852,-0.0291877413662714,-0.0259541471787353,-0.00696570513411853,-0.00041123586995363,-0.143500986461386,-0.137893121830068,-0.0382977457405494,0.0442202718816261,0.0228556859848439,-0.00648296563234197,-0.0189211109435016,-0.00903086087329205,0.232005559134127,0.186047700437544,0.155048350701453,0.125320774596209,0.0955258312251824,0.0681888602364551,0.0398147970511503,0.0117773617216191,47538.6174641989
