"","beta.1.1","beta.2.1","beta.3.1","beta.4.1","beta.5.1","beta.6.1","beta.7.1","beta.8.1","beta.1.2","beta.2.2","beta.3.2","beta.4.2","beta.5.2","beta.6.2","beta.7.2","beta.8.2","beta.1.3","beta.2.3","beta.3.3","beta.4.3","beta.5.3","beta.6.3","beta.7.3","beta.8.3","beta.1.4","beta.2.4","beta.3.4","beta.4.4","beta.5.4","beta.6.4","beta.7.4","beta.8.4","sigma.1","sigma.2","sigma.3","sigma.4","sigma.5","sigma.6","sigma.7","sigma.8","lp__"
"1",-0.252912588222797,-0.172028540017499,-0.237966949674908,-0.0995642932080194,-0.00386351569106924,0.0167550449837121,0.02305214644853,0.0112481127157649,1.47388360509734,0.342669514419657,0.374577440754456,0.292069942068405,0.498269114693813,0.688672446218182,0.823391587859127,0.958178399236068,-0.449849243118574,0.670885236479039,0.657821365568191,0.709554156301191,0.48337627757384,0.293256825253061,0.164253554107481,0.0393666722466158,-0.0251030949047101,-0.0522071963017723,-0.0612908307305257,-0.0583351350806597,-0.0531616207613007,-0.0214673661738784,-0.0176357710786401,-0.00337021540461237,0.214841889933828,0.180102812085781,0.159925359750974,0.131540350937525,0.107144474333871,0.0693722855018304,0.0438356170530469,0.0124504813031031,58037.6938058048
"2",-0.224025456129305,-0.153590274814226,-0.223335301658666,-0.0954062450373173,0.0106562847035334,0.0144370070843871,0.0175703389998035,0.0105288202112368,0.446687231072415,0.33965341251263,0.383161089088781,0.292743321692964,0.467881112308468,0.676235407228532,0.820678423872584,0.959461141392707,0.567584641600275,0.667349384964106,0.642700095931651,0.707633636350332,0.507145276956019,0.307187814702968,0.168939387654891,0.0381091919915531,-0.0357744593512499,-0.0481255119010922,-0.0566204251291495,-0.0560773378520677,-0.0478905152265775,-0.0229627721820853,-0.0172150699607427,-0.00296312896972643,0.217847445868,0.183857276386346,0.164086165085431,0.13033338113688,0.111371980930925,0.0716066814128019,0.0435430939221627,0.0125959031902164,58036.8411238634
"3",-0.28021184706322,-0.17459399366885,-0.248935140649244,-0.106022514435183,0.00553878154719298,0.022981312906271,0.0184255337126796,0.0118930998023912,1.51326738970931,0.353305851820345,0.345456391681138,0.294536657864201,0.490448474152034,0.662621124441042,0.826807733126325,0.958280394464079,-0.477666429571168,0.660759317281826,0.689079627016743,0.709036300455003,0.488035903301167,0.320235207622844,0.162356811779143,0.0387636361714474,-0.0473061269555414,-0.0593160655603894,-0.0574754890195894,-0.0525418485171237,-0.0531820589863522,-0.030783274566169,-0.0187821270397242,-0.00202118505957462,0.222373494988114,0.182928082359728,0.160917482607901,0.131185519941482,0.110757188033741,0.0695753693382933,0.0433809836494453,0.0125312522440242,58037.8468268784
"4",-0.255011744613076,-0.147376298688628,-0.270122717844092,-0.0929468063966397,0.00757109273232583,0.0224255432797461,0.0139517782631108,0.00915459746490149,1.27432673948515,0.209402855701419,0.360837899945989,0.26435888290776,0.47863586668832,0.672562246484273,0.830106777031039,0.960022982490227,-0.248543317664353,0.797170918579012,0.68408419808662,0.73642853215081,0.497431073481889,0.309572725994011,0.159952146530174,0.0381593740722189,-0.0327277218176446,-0.0524442001599486,-0.0656823815605952,-0.0605296264213032,-0.0451321227984983,-0.0264525033859782,-0.017337638808593,-0.00387648192990393,0.219020561914011,0.184485173276047,0.160576128556997,0.130046216110121,0.107807418596107,0.0713492307011499,0.0437184198242737,0.0125649172717383,58040.0604303826
"5",-0.243707597132516,-0.158797192258251,-0.255933982823799,-0.0862189446416648,0.0188290708026241,0.0242993004977207,0.0131981027559315,0.00956655498228902,1.18495946343197,0.270247819274574,0.354053938540832,0.274217020551054,0.451290088799939,0.668758378309036,0.828780088735935,0.959961750893943,-0.160891759619485,0.740128459048103,0.686380296067822,0.723845357907439,0.519421642991406,0.311663290366781,0.161924054979614,0.0379214720478115,-0.0426012856067292,-0.0592637235646966,-0.0699880681419991,-0.0569640572650502,-0.036836337485089,-0.0197555514088234,-0.0179636505470708,-0.00282980952738424,0.219561336041072,0.182116253657828,0.159866211913944,0.131569826660398,0.107403954968392,0.070846764293047,0.0439383679187531,0.0123396519277766,58042.5445283828
"6",-0.282840492204244,-0.158893487359542,-0.240889867712525,-0.103772016133748,0.0108292025227752,0.0239847699950195,0.0167608045237499,0.0107054900941552,0.469536949802369,0.292691633293143,0.325202861360115,0.30906618743089,0.483410682844005,0.677066770331873,0.823131677675483,0.957182480069401,0.566823888660376,0.716842545925131,0.706447394279646,0.69327930249445,0.492275181688636,0.303490983824887,0.166504513022521,0.0405005320172422,-0.0359411996599671,-0.0535958707781586,-0.0618173632481786,-0.0537308730244946,-0.0478510507334656,-0.02454887581261,-0.015782875348366,-0.00242805192904409,0.220854423870435,0.182775857302463,0.160848177966079,0.13157044635036,0.109173762425183,0.0697653019788087,0.0442232118957308,0.0124479194167732,58050.3195470481
"7",-0.267388780239257,-0.16929911711149,-0.245869932323856,-0.0927622449668442,0.0147033257288013,0.0183811373952003,0.0231696006884806,0.0113624021517046,1.52415352811233,0.310009578229342,0.334097123781141,0.286810543912663,0.47137926635203,0.664887975499184,0.821296325209256,0.958450558816125,-0.495461392299704,0.704854065216251,0.702413422201158,0.71166128560016,0.503318695931413,0.317755393973441,0.165985678031244,0.0390985741122859,-0.0376116284215388,-0.0622173239092256,-0.0756827992136023,-0.0536283500447887,-0.0460691224272578,-0.0209218537839634,-0.0177898028787947,-0.0033250941638823,0.223436943249823,0.182433827919808,0.158784560810094,0.132464934947713,0.106525520258702,0.0697390753538983,0.0446664988897299,0.0127432913143103,58040.386833571
"8",-0.256638345441005,-0.181980726592481,-0.242260136898114,-0.114242163806353,0.00806404289183272,0.0220794443030674,0.0237208968491825,0.0123265412796999,0.600970935420894,0.230050351605774,0.375909229875701,0.30594830644999,0.455663375118498,0.672311336537015,0.823611417358068,0.956447386219997,0.430802540440987,0.78632039197279,0.65392786936862,0.699606570914563,0.522507341471811,0.308966609784637,0.164007494837024,0.0406874557568453,-0.0522080839990648,-0.054977625041266,-0.0555276700402141,-0.0474082735872525,-0.050460029394547,-0.0255543916253148,-0.0189419010604937,-0.00279550995045098,0.216200042770161,0.184455804428373,0.161611758671503,0.131541499895081,0.108585122554977,0.0694620088494326,0.0434175786900322,0.0129496937621163,58037.7058761228
"9",-0.253869455498355,-0.156339495034808,-0.23018585947276,-0.0977405760274667,0.00148119140395904,0.0163268626810309,0.0201643309205374,0.0105952536328186,1.2448896571378,0.264835927281927,0.296815558025511,0.269621903601952,0.475988591134545,0.668942534800631,0.822354783290178,0.959050551191144,-0.217038890379088,0.741678248707453,0.732361094366702,0.733257222330071,0.501130661316699,0.314630370741538,0.166873649244892,0.0386425200500119,-0.046163724058432,-0.0468000790453895,-0.0709810383374536,-0.0590509470043501,-0.0376483514718205,-0.0232563824700715,-0.0205464842947974,-0.00337366447686787,0.2158722279685,0.182474898929708,0.162591802321867,0.132872150698425,0.109990071011266,0.0694078328826464,0.044128046068957,0.0125867737361932,58042.62721305
"10",-0.244758539995019,-0.154561489854013,-0.215133978451129,-0.0958699824431398,0.00503164683204481,0.023704041548488,0.0177447571479225,0.0101681041704196,1.15683129188185,0.292349762822011,0.331456431902854,0.282671948096206,0.488811910736657,0.671727909184847,0.827130464128029,0.958978510656464,-0.133113530154214,0.71318830532936,0.693019597750156,0.717685666371057,0.487565479131138,0.308672664273219,0.161546972126686,0.0388097369327628,-0.0457599046754265,-0.0435910226802559,-0.0659822894905693,-0.0563330721565259,-0.0368370901078289,-0.0217531899586131,-0.0163288576562912,-0.00300245561433241,0.213914255915236,0.181906857826161,0.161281897321494,0.134820331533928,0.109129737763171,0.0713997893201682,0.0437963099478651,0.0127493809404532,58042.6810149675
