draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta.1,sigma
0,1060.0286266490152,0.9968677016674974,0.10947535914594,2.0,3.0,0.0,-1058.4852635695909,-0.1699120999038113,0.9965723982062538,0.21149481228369668
1,1059.3858087902047,0.950132340994691,0.09134846653335248,2.0,3.0,0.0,-1059.3261854658058,-0.1912514978393996,1.0047227849206724,0.20675352233171235
2,1060.3591659358592,0.8908944496501326,0.10494065689806413,2.0,3.0,0.0,-1058.9302793384338,-0.2895826444034192,1.0275214033564861,0.21235018135959588
3,1058.1913403555077,0.7503985347467188,0.12053246122688263,5.0,31.0,0.0,-1057.5041447625802,-0.3077179516706933,1.038725643358627,0.21467294726690075
4,1060.1122454320605,1.0,0.10947535914594,2.0,3.0,0.0,-1060.0255616534553,-0.17272109878814626,0.9953455012084085,0.21154358575014467
5,1060.6625958669251,0.9770373609466051,0.09134846653335248,5.0,63.0,0.0,-1058.358652537951,-0.2501985999689605,1.0207724958849385,0.20652833235606488
6,1060.3820116432853,0.9832701764106997,0.10494065689806413,5.0,31.0,0.0,-1059.6282702058124,-0.2947205269494547,1.0327851589729053,0.2062833374368127
7,1059.5843905372164,1.0,0.12053246122688263,1.0,1.0,0.0,-1058.5893578123294,-0.31134205124771147,1.0377160669628878,0.21474335499926867
8,1060.5701481906926,0.979465348018785,0.10947535914594,5.0,47.0,0.0,-1058.723033195462,-0.2618470716165483,1.0204732173384483,0.2039793576920243
9,1061.5769837893317,0.9349450733035818,0.09134846653335248,4.0,27.0,0.0,-1059.613021597297,-0.23731647200063366,1.0144539661614072,0.2106176973019103
10,1060.239509044436,0.8883348358756532,0.10494065689806413,5.0,63.0,0.0,-1058.7163315693917,-0.21623760864753241,1.0058561576280016,0.21039248126424293
11,1061.2375152831833,0.9952046745923894,0.12053246122688263,5.0,31.0,0.0,-1058.8120353317931,-0.22946808757366716,1.011437715706781,0.21230515502483277
12,1060.3570634713376,0.7671210085909819,0.10947535914594,4.0,31.0,0.0,-1057.5855650183544,-0.18971508856520744,0.9993466583405176,0.2088495647355246
13,1060.4488569843302,0.8567008814091381,0.09134846653335248,3.0,11.0,0.0,-1059.7738267605057,-0.2530089549058978,1.01636821645731,0.21072684928607383
14,1059.0060921358165,0.8715750046708256,0.10494065689806413,4.0,19.0,0.0,-1057.9506184581085,-0.20193217083562368,1.0008383486674368,0.21230436252773077
15,1060.6665167575743,0.999802070253238,0.12053246122688263,5.0,31.0,0.0,-1059.6755693951634,-0.2993801259464854,1.0326303849551175,0.2130110482485897
16,1060.356541094917,0.9709507594433675,0.10947535914594,5.0,31.0,0.0,-1059.9158222981598,-0.19783689885010103,1.0012848056697077,0.21070216186914148
17,1058.6045088334329,0.8667305378160861,0.09134846653335248,5.0,33.0,0.0,-1054.283754693512,-0.25636538730646924,1.0246574281188214,0.20647159238780674
18,1058.8275348556965,0.8580396946684299,0.10494065689806413,3.0,15.0,0.0,-1055.9771897954458,-0.19152976585879447,1.0047791370412582,0.2161745683160459
19,1060.7906555539537,0.9949525509098368,0.12053246122688263,5.0,31.0,0.0,-1059.776331178297,-0.2901465371081274,1.0303147576880005,0.21346127151371488
20,1060.78667896447,1.0,0.10947535914594,2.0,3.0,0.0,-1060.4624807682799,-0.19611083208329128,1.001771424455943,0.2106664243810471
21,1060.0719652538255,0.9653834593169944,0.09134846653335248,3.0,7.0,0.0,-1057.6070149519815,-0.2750489630221414,1.0231299274349468,0.20499027428210326
22,1060.2668881304962,0.9719523022517468,0.10494065689806413,2.0,7.0,0.0,-1058.4074340723485,-0.19850164227884537,1.003729472519313,0.21583716728405877
23,1060.0606910743277,0.8200048268657971,0.12053246122688263,2.0,7.0,0.0,-1059.2672205785912,-0.29050067018272696,1.0320688485932932,0.21435790162059173
24,1061.1260329948025,0.9867090513296368,0.10947535914594,5.0,31.0,0.0,-1060.3442631357473,-0.2137704147118502,1.00817375626575,0.21303439137406593
25,1059.4675920097702,0.9986430654057611,0.09134846653335248,5.0,63.0,0.0,-1056.4762214791087,-0.17224071881607547,0.9937890017532457,0.21072160706557383
26,1060.4973255715622,0.9949841292381199,0.10494065689806413,5.0,63.0,0.0,-1059.8213273020276,-0.24877015846752298,1.0183633800414584,0.20274049577594377
27,1059.716057872102,0.9987941146084911,0.12053246122688263,5.0,31.0,0.0,-1058.9020443039135,-0.22792930862225125,1.0133784613929029,0.20144889833371815
28,1060.0891056358441,0.7624636902959765,0.10947535914594,3.0,15.0,0.0,-1057.849721019273,-0.23741541037231895,1.0114834679790852,0.20963385036692153
29,1059.679650243475,0.9881119920035225,0.09134846653335248,3.0,11.0,0.0,-1058.635877457226,-0.17654613335085864,0.999853931296732,0.2095401329629652
30,1060.4891933087465,0.9108209670879959,0.10494065689806413,4.0,15.0,0.0,-1059.7680113276197,-0.2608024317402311,1.019798681021432,0.20425446663164717
31,1059.8657884926206,0.9880750603096355,0.12053246122688263,4.0,15.0,0.0,-1059.4769714462827,-0.22447516354432642,1.0104966546966363,0.20147618327759137
32,1061.5908515672236,1.0,0.10947535914594,2.0,3.0,0.0,-1059.9959836468306,-0.23522324455100607,1.0145364834721349,0.20984677274958935
33,1060.2149253532768,0.9996710893642679,0.09134846653335248,4.0,31.0,0.0,-1054.4982015042842,-0.18107393754709364,1.000327196872746,0.20825882049275363
34,1060.6319084053082,0.9874631503968084,0.10494065689806413,5.0,31.0,0.0,-1059.960014032703,-0.2780817825706418,1.0286918020230251,0.2108401068436016
35,1060.8364701356268,0.9971294339553333,0.12053246122688263,4.0,15.0,0.0,-1059.4211089515295,-0.2179154119491381,1.0086682965873113,0.20474600268340623
36,1060.571419093644,0.9590448205794794,0.10947535914594,4.0,31.0,0.0,-1060.3394667118869,-0.23250115634875776,1.011840137210429,0.20430306768754555
37,1058.8311228097023,0.8067249516429885,0.09134846653335248,3.0,11.0,0.0,-1056.9359164516102,-0.18245770668355868,0.9957670310905493,0.2068504077590383
38,1060.1751713510262,0.9683388825671475,0.10494065689806413,5.0,43.0,0.0,-1057.955899232001,-0.18084560610676373,1.0002802863907212,0.20795702753342404
39,1061.29599612537,0.7250631216249991,0.12053246122688263,4.0,27.0,0.0,-1059.0327525935563,-0.2574158957211538,1.021579578025874,0.21219294993706286
