draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta.1,sigma
0,1426.5716300264983,0.9729469237653563,0.09999569550055215,4.0,31.0,0.0,-1425.3549511763135,-0.17658099780320713,1.0053572184630617,0.145899399437193
1,1426.5754835033235,0.9471661451598399,0.10268267199251127,5.0,31.0,0.0,-1424.8854524436174,-0.18754060881702844,1.0087190415269838,0.14842303775620694
2,1425.4829659095328,0.8874971457521352,0.13406260232242445,5.0,35.0,0.0,-1425.2424240586163,-0.24341454203113408,1.0233580328366039,0.14418492257020724
3,1422.6228468856675,0.8871312076023324,0.11295602182469806,2.0,3.0,0.0,-1421.5499315182033,-0.21593468008131372,1.017523677636318,0.13590451332507703
4,1426.940889007048,0.9057128300992903,0.09999569550055215,5.0,31.0,0.0,-1425.8233343050413,-0.1858709044934695,1.0083717781639632,0.14430240979830092
5,1426.4325092198417,0.9157936603978386,0.10268267199251127,2.0,7.0,0.0,-1425.8197249564096,-0.18624619151583025,1.0098783310378336,0.1482771733601677
6,1423.526141842171,0.849149293054277,0.13406260232242445,2.0,3.0,0.0,-1423.3329624476814,-0.24509048196922023,1.0225799204130641,0.14406830588556196
7,1422.7519040755722,0.9622112237667063,0.11295602182469806,3.0,7.0,0.0,-1422.3039126333344,-0.21814573388701128,1.0183978385043706,0.13608004920991654
8,1427.305146273984,0.9996565256887763,0.09999569550055215,4.0,31.0,0.0,-1425.307148969413,-0.21732270882673166,1.017741065625777,0.14550828883992542
9,1427.0754051315312,0.9973233735857052,0.10268267199251127,5.0,31.0,0.0,-1426.2184679631835,-0.19248964528580484,1.0100606655246882,0.1451144085150696
10,1423.346137136741,0.9795450930134918,0.13406260232242445,2.0,7.0,0.0,-1422.3888047503608,-0.2248063391897901,1.0236581463057313,0.14444146008799294
11,1425.8081642114848,0.951738948414389,0.11295602182469806,5.0,31.0,0.0,-1421.6890088497205,-0.23841602950927424,1.0245763607715639,0.14113124443725833
12,1426.507520091558,0.9551455746483415,0.09999569550055215,4.0,19.0,0.0,-1424.7789304245616,-0.23879934309362802,1.0243825202776136,0.14296560228369573
13,1426.9061950476314,0.9772567141697263,0.10268267199251127,4.0,19.0,0.0,-1426.6307978390757,-0.183894438879058,1.0088296836652761,0.1452884864525359
14,1422.3374241561135,0.9742498242628207,0.13406260232242445,2.0,7.0,0.0,-1421.6579607268868,-0.24556455849731304,1.022173358982572,0.14367127288618764
15,1426.1124242184019,0.8016414007839514,0.11295602182469806,2.0,3.0,0.0,-1424.5295106263202,-0.2393248166121931,1.0243070514792132,0.1416382070689252
16,1426.3139932178176,0.9865428502381539,0.09999569550055215,4.0,15.0,0.0,-1426.2022197878134,-0.24044869488820608,1.0239525190319265,0.14260505465375928
17,1426.1671635460668,0.9258282349369525,0.10268267199251127,5.0,35.0,0.0,-1425.4625117624814,-0.25295726756604636,1.0276221398503846,0.14495007374128538
