draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta.1,sigma
0,3367.998956483216,0.9750139877502387,0.05034239855031298,3.0,11.0,0.0,-3367.700203919925,-0.005726460212371332,0.9985885480732919,0.020897710354417502
1,3368.5111785013287,0.9663674878676364,0.05088544096825489,6.0,63.0,0.0,-3367.463415160001,-0.0031965953408389382,0.9978722029396037,0.020732508672691923
2,3367.838919958704,0.8059926656164539,0.06410443608984022,5.0,39.0,0.0,-3365.6625195012193,-0.0010465293086656191,0.9968322022409284,0.020468941516213156
3,3364.265738216809,0.9263681361525521,0.05256873004527723,2.0,3.0,0.0,-3364.082704687145,0.0038515448296863103,0.996082631607562,0.021696707540621692
4,3367.4157497563856,0.9512075575185771,0.05034239855031298,6.0,63.0,0.0,-3366.400261854572,0.0038493725858249404,0.9954921239498356,0.021363000616825084
5,3367.8200576730983,0.9990773061843252,0.05088544096825489,5.0,63.0,0.0,-3367.2255482213054,-0.005800698483975175,0.9984287235184222,0.021140465071221436
6,3367.786904868742,1.0,0.06410443608984022,6.0,63.0,0.0,-3367.5239745404137,0.002326909446448314,0.9963390105955733,0.020658841454587865
7,3365.2626346395473,0.8907789381014618,0.05256873004527723,2.0,3.0,0.0,-3362.668865423045,0.0030529546274176565,0.9955104891410376,0.021727094224453247
8,3365.537983004446,0.9455704832338472,0.05034239855031298,5.0,31.0,0.0,-3364.8561561908236,0.00280561496642798,0.9956920265484015,0.021862833357892353
9,3367.6803182407534,0.98485974653984,0.05088544096825489,6.0,63.0,0.0,-3366.8033577547094,-0.001973435595016352,0.9974962114008318,0.02150469390858742
10,3366.466506750789,0.8453523032663075,0.06410443608984022,5.0,35.0,0.0,-3365.928189999162,-0.003898363198591173,0.9975244760606817,0.0208479770725362
11,3368.3007606358356,0.9402948014856642,0.05256873004527723,5.0,51.0,0.0,-3364.4131997495715,0.0004265494704655819,0.9964702234308913,0.020507561644840522
12,3365.2166087008322,0.933662595456459,0.05034239855031298,1.0,1.0,0.0,-3365.124736440278,0.0027831748223171703,0.9956438790111408,0.021857856924838524
13,3367.7729253210973,0.9601970659906593,0.05088544096825489,5.0,47.0,0.0,-3365.709313216824,-0.0019677088720603275,0.9971385642141876,0.020360346168637716
14,3368.66575746416,0.719036493673705,0.06410443608984022,2.0,3.0,0.0,-3364.1518945975636,-0.003597482070888489,0.997807637174438,0.020900381352337287
15,3366.4166990805443,0.8764852337348253,0.05256873004527723,6.0,63.0,0.0,-3365.31013715609,-0.005341833651010619,0.9980005622192643,0.021094699363251833
16,3367.6409222992793,0.999380810639575,0.05034239855031298,5.0,43.0,0.0,-3364.241036726567,-0.005240882347943924,0.9981487691048584,0.02054808167188836
17,3367.748091058768,0.9970375205953582,0.05088544096825489,6.0,63.0,0.0,-3367.4652538275045,0.000602739565502572,0.9963757231179474,0.021323407482935097
18,3368.6560156501696,0.7451949897023175,0.06410443608984022,4.0,31.0,0.0,-3367.3036988823496,-0.002696664049287125,0.9974627812520378,0.020730456685421263
19,3367.7649755674497,1.0,0.05256873004527723,2.0,3.0,0.0,-3366.6442820371644,-0.0051508282425366805,0.9981336075145519,0.02108870475151532
20,3368.650858963941,0.8964900248686684,0.05034239855031298,4.0,19.0,0.0,-3366.2696997977946,-0.003752553814296583,0.9979411035815887,0.020815159065551588
21,3368.272545601069,0.9996389841781185,0.05088544096825489,6.0,63.0,0.0,-3367.589412451069,-0.0015095324345633372,0.9970411448606991,0.021152255846803487
22,3367.8695911423497,0.9866816185906253,0.06410443608984022,6.0,63.0,0.0,-3365.4304048221943,0.0042573267229216935,0.995656174504422,0.020904623666511676
23,3367.929012308769,0.9805777102301909,0.05256873004527723,5.0,63.0,0.0,-3365.9380651235338,0.0016811882523127216,0.9961307915776431,0.02032104310687568
24,3368.1320500284637,0.9313979305845327,0.05034239855031298,6.0,63.0,0.0,-3367.7632188008574,-0.0021673133868638944,0.9976444867794769,0.021099761206766324
25,3368.7080454634183,0.9757502862453592,0.05088544096825489,2.0,3.0,0.0,-3368.0918604061026,-0.0013397058140042987,0.9971971437171062,0.021149080239062104
26,3366.5393009698255,0.716897440589133,0.06410443608984022,5.0,31.0,0.0,-3363.597013105209,0.0012571029543848645,0.9964130933914068,0.021855132035910215
27,3368.438001027454,0.9807245774996628,0.05256873004527723,6.0,63.0,0.0,-3367.3800917905905,-0.0036141062641391764,0.9979363249900293,0.021101897041511015
28,3367.693731378456,0.9877755884134974,0.05034239855031298,5.0,63.0,0.0,-3366.9145895455295,0.002297425591951045,0.9963284680169128,0.021189344791747083
