draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta.1,sigma
0,1280.5899961731066,0.8877376365024306,0.10902820945307874,3.0,15.0,0.0,-1279.174200092751,-0.23091038870838662,1.0166766565493552,0.168994865812296
1,1280.3127794540083,0.9662595763394942,0.09397481929944647,6.0,63.0,0.0,-1279.1339100032947,-0.2092296377340363,1.0097430082634866,0.16622783086409237
2,1280.139506385485,1.0,0.09540674367849382,3.0,11.0,0.0,-1279.2294301958773,-0.27561678306695314,1.0282063137107607,0.17221297209447362
3,1280.7750529248756,0.9994195581180908,0.10730708748399803,5.0,31.0,0.0,-1279.869995693444,-0.2600247083834441,1.0233492596369527,0.16616650586736037
4,1277.4559307281277,0.773694010271087,0.10902820945307874,4.0,23.0,0.0,-1276.1314066078307,-0.2038336007641104,1.011346350679357,0.16845512982571528
5,1280.8533300432866,0.984749573541308,0.09397481929944647,5.0,39.0,0.0,-1279.8996394797725,-0.2658671106835058,1.0254311475984927,0.16883809781963324
6,1280.110465606804,0.9803587642071567,0.09540674367849382,5.0,63.0,0.0,-1278.6174578045354,-0.28369767680131924,1.0309647251023852,0.17107824748175576
7,1280.0328619678546,0.9918740549721875,0.10730708748399803,5.0,35.0,0.0,-1279.0799114651327,-0.19705342343707657,1.0062458274586652,0.16941705931757778
8,1280.0489959597385,1.0,0.10902820945307874,2.0,3.0,0.0,-1277.6964977702662,-0.20622935473455073,1.009693219883042,0.1682148425276553
9,1280.7626440965407,0.8618847353449691,0.09397481929944647,2.0,3.0,0.0,-1279.7866110609261,-0.26706520807264583,1.0250802495644458,0.1687830478832247
10,1280.434519561844,0.9906218378372773,0.09540674367849382,5.0,43.0,0.0,-1279.070723815236,-0.20609992720101503,1.0081085268053023,0.16786082618380105
11,1280.3804617327737,0.9723324275572293,0.10730708748399803,3.0,15.0,0.0,-1279.4250618401074,-0.21607133758578909,1.012381575635286,0.168708958266763
12,1280.484450271786,0.9974423614192763,0.10902820945307874,2.0,7.0,0.0,-1279.9194869076334,-0.2072600573426904,1.0086374012548378,0.16832368479775162
13,1280.8507190942034,0.8307723695195367,0.09397481929944647,3.0,15.0,0.0,-1278.672922445529,-0.26533361184512044,1.0251978958540424,0.16743378613154833
14,1280.5245960539316,0.9999877982791718,0.09540674367849382,5.0,31.0,0.0,-1280.1665339362157,-0.2164918954267423,1.0111989347464874,0.16591187154981277
15,1279.878172063868,0.9958570869570175,0.10730708748399803,5.0,31.0,0.0,-1279.1373426400176,-0.2891684181071625,1.0310207067993686,0.1706278387246218
