,BL,M1,M2,M3,pcnt_M1,pcnt_M2,pcnt_M3
5K,22.35,19.208,19.196,19.089,0.141,0.141,0.146
10K,20.896,17.067,16.078,15.941,0.183,0.231,0.237
15K,19.262,15.402,12.928,12.662,0.2,0.329,0.343
20K,17.277,12.345,9.853,9.74,0.285,0.43,0.436
25K,12.04,9.71,6.874,6.707,0.194,0.429,0.443
30K,9.078,7.15,4.781,4.716,0.212,0.473,0.48
35K,5.001,4.29,2.471,2.442,0.142,0.506,0.512
40K,1.174,1.165,0.807,0.781,0.008,0.312,0.334
Overall MAE,13.53,10.9,9.228,9.114,,,
Overall $R^2$,0.87,0.928,0.938,0.939,,,
