,BL,M1,M2,M3,pcnt_M1,pcnt_M2,pcnt_M3
5K,21.674,18.141,17.367,18.001,0.163,0.199,0.169
10K,20.535,15.694,15.698,15.609,0.236,0.236,0.24
15K,18.866,13.581,13.338,13.428,0.28,0.293,0.288
20K,16.404,11.986,11.484,11.762,0.269,0.3,0.283
25K,13.404,9.552,9.832,9.373,0.287,0.267,0.301
30K,9.745,6.803,6.695,6.604,0.302,0.313,0.322
35K,5.245,3.914,3.751,3.799,0.254,0.285,0.276
40K,1.181,1.134,1.143,1.095,0.04,0.032,0.073
Overall MAE,13.406,10.115,9.93,9.973,,,
Overall $R^2$,0.877,0.932,0.931,0.932,,,
