"","x"
"1",2.96787993075802
"2",3.1505328240173
"3",2.78509684355558
"4",1.68018613125348
"5",2.32374629871299
"6",2.40933864872507
"7",2.5538409457418
"8",3.58207483890934
"9",2.48238125926227
"10",2.09210996092505
"11",3.81333563195072
"12",4.04351005428534
"13",3.89224603433957
"14",2.38252014161616
"15",2.48495789968914
"16",3.35800861380326
"17",3.03148896621717
"18",2.17620274794643
"19",3.42625406956694
"20",2.64108324301963
"21",2.58259438415067
"22",3.2957057841443
"23",2.27809403819209
"24",2.35421191441001
"25",3.03269092060857
"26",3.90588776955957
"27",2.40197612480255
"28",2.27405063090042
"29",2.4284960233801
"30",3.76515932301924
"31",3.00750651275892
"32",2.35204707262923
"33",2.62212392017275
"34",2.83694938768273
"35",1.98308938042115
"36",2.88093348142145
"37",2.17806602677271
"38",3.88819715555289
"39",2.15276375183562
"40",2.54775421131282
"41",3.33957906337324
"42",4.08761907759598
"43",2.41040447021921
"44",2.14853926780047
"45",2.54482891656405
"46",3.43235952262415
"47",3.25091789655907
"48",3.90770156358647
"49",2.29609222862764
"50",3.52217749334369
"51",2.73519272388591
"52",2.1478250531927
"53",2.22041203829593
"54",2.5842233230237
"55",3.55520099954372
"56",3.01622807725997
"57",2.08061149674241
"58",1.50110368440449
"59",1.85611376528295
"60",2.34468218746357
"61",3.09933616204205
"62",2.82278837683406
"63",2.58035808066028
"64",3.55217838358642
"65",3.08835607535938
"66",2.93007855889645
"67",3.50903999948045
"68",2.8833609836757
"69",1.68530047639908
"70",2.39406320085484
"71",2.50068061197421
"72",3.43081225605646
"73",3.28017734769949
"74",3.76604585786699
"75",2.81529892526448
"76",3.43081867796024
"77",4.2037935392406
"78",2.3097730233954
"79",3.55197668102968
"80",3.12388205968713
"81",3.55272982533782
"82",2.07826938733937
"83",2.26849268006574
"84",2.57228847530731
"85",2.42247879211209
"86",3.22202615947269
"87",2.02800740389329
"88",2.27894106412473
"89",3.80764024605266
"90",3.50620438665706
"91",3.10557963440611
"92",2.44792065997751
"93",3.75134731311807
"94",3.17783442007126
"95",2.88855889982151
"96",1.85992948437654
"97",2.47452356170953
"98",2.9720346809176
"99",2.25762077328207
"100",2.30710683483077
"101",3.07314016195909
"102",2.2148631679087
"103",1.89400636063956
"104",2.74739941346848
"105",3.31909228425497
"106",2.78502998306275
"107",2.30270521400442
"108",3.12364237985268
"109",2.06063430926773
"110",3.00423926925779
"111",3.01132979227284
"112",3.1772985653654
"113",2.79203162709694
"114",2.739474968923
"115",1.79521227697697
"116",2.94614998973666
"117",3.2771168396008
"118",3.88318680754607
"119",2.5644312479085
"120",1.90712576663573
"121",3.11544624837815
"122",2.7027847676767
"123",2.22521998175488
"124",3.75229873256783
"125",3.16601591068477
"126",2.25263445116411
"127",3.76981310801602
"128",4.08712676441217
"129",2.19462130582167
"130",2.34303974024921
"131",3.75359402821289
"132",3.81526998507606
"133",2.51633009226922
"134",1.92921540954892
"135",2.03124703773386
"136",2.97078695930859
"137",3.24075242189335
"138",2.4064649189529
"139",4.53779642423181
"140",3.56721448851179
"141",2.50825831944937
"142",2.28086543826752
"143",2.60264509065159
"144",2.17549022322295
"145",3.27882836372249
"146",3.60704044607444
"147",3.0966364649154
"148",3.70987621903887
"149",4.17128179335615
"150",2.23191733612017
"151",2.36117773629827
"152",2.65251963888623
"153",2.10033352804423
"154",3.8317902514822
"155",2.46088821294305
"156",2.54740109090651
"157",3.09492946782356
"158",2.82687351173066
"159",2.58768066505696
"160",2.33001220620053
"161",2.02766340580735
"162",3.5184498360154
"163",2.3271410401371
"164",3.4730212468327
"165",2.06690068952382
"166",1.82253241187593
"167",2.78746767877056
"168",3.73946710880315
"169",2.37969075602178
"170",3.1992823722329
"171",3.50934666003748
"172",2.30507656417372
"173",3.67694705675337
"174",3.61636160086441
"175",2.7189805465244
"176",4.04857321060158
"177",2.75786921055061
"178",3.19401808219746
"179",3.07192063221444
"180",2.58291373831028
"181",3.37161035754557
"182",2.61412251375168
"183",1.78990884940719
"184",3.5991606214418
"185",2.00830508556758
"186",3.03543856981228
"187",2.53943165466287
"188",3.16828931591518
"189",2.23968728747197
"190",2.62944978785894
"191",4.02902806046092
"192",2.26164228271243
"193",3.02281371046031
"194",2.13982294847206
"195",2.54078045399347
"196",2.17975992778099
"197",1.91351392189681
"198",2.64973956226195
"199",2.44539878960916
"200",2.91104524241156
"201",4.67470071661702
"202",2.39180803401625
"203",4.07558745596477
"204",3.86192100153711
"205",1.97552453393607
"206",3.4035260493976
"207",2.0690182960795
"208",2.11416519492787
"209",2.58809036680919
"210",2.30321931129392
"211",3.20957467405253
"212",2.22913410833425
"213",2.93240943251876
"214",2.81941201919924
"215",1.87240942010812
"216",2.67100597472711
"217",2.72633409045972
"218",2.25046205397833
"219",2.39496839188368
"220",2.84235365938559
