"","beta.1.1","beta.2.1","beta.3.1","beta.4.1","beta.5.1","beta.6.1","beta.7.1","beta.8.1","beta.1.2","beta.2.2","beta.3.2","beta.4.2","beta.5.2","beta.6.2","beta.7.2","beta.8.2","sigma.1","sigma.2","sigma.3","sigma.4","sigma.5","sigma.6","sigma.7","sigma.8","lp__"
"1",-0.239190311557386,-0.2566727634828,-0.232833120185163,-0.240473380165161,-0.128190620860763,-0.0745798935274603,-0.0593269377421037,0.00103859697943876,0.999866219574522,1.0203942606857,1.01545554412244,1.02962451074058,0.997308298250961,0.994435165709205,1.00439269397953,0.996463399152341,0.238136862067488,0.200337520318674,0.177813078693561,0.175580673530808,0.123438760797734,0.0947461920490592,0.0558814637046144,0.0137301273364425,1736.77047643882
"2",-0.337825003097238,-0.402478669157517,-0.189449186693962,-0.248074932227518,-0.108883841086061,-0.0859906091511871,-0.0260870598580463,-0.00308161608741521,1.05304822624766,1.07397299604749,1.00287415708705,1.01585880905975,0.996538589686893,0.995718408525269,0.991219464386007,0.99833820477072,0.242785053291892,0.20742098121581,0.195674595579929,0.168625645999369,0.136417169540956,0.0934465389922301,0.0642684480927947,0.0137669456137035,1733.49757318032
"3",-0.347994580375671,-0.263588397589158,-0.256820854363891,-0.0463014124330554,-0.082309640248715,-0.103041445855829,-0.0174146049042231,-0.00367086052278718,1.05671911343032,1.02452398373984,1.02307392649249,0.955677369088162,0.978152033499543,1.00356455223211,0.98541364551878,0.998743679188952,0.240487972882287,0.198557345210393,0.180360715860208,0.15355191679278,0.121124521293351,0.0901199905465123,0.0530664367362867,0.0145144322448383,1733.72854420389
"4",-0.237214057480402,-0.263631206284578,-0.10964326067194,-0.249611609727016,-0.140195903123051,-0.119875540132483,-0.0621355428576867,0.0093732437119923,1.01074444720737,1.02295644317336,0.968904913660417,1.02672708783949,1.00814982823399,1.01200036473133,1.00420644908128,0.993967803792533,0.233939056662696,0.21809216679351,0.173762654919803,0.157028295155179,0.141949469361798,0.0909758425295408,0.0676098285531561,0.0136148950345554,1730.27998493156
"5",-0.306770580529808,-0.245361973678583,-0.249401055930483,-0.262748596379973,-0.221625991480107,-0.0797638287365221,-0.0159293071884014,-0.0117595489360661,1.03382800096427,1.02579421416423,1.01676016137936,1.03102134014239,1.02943830905022,0.995955098641712,0.987240039336948,1.00264641052593,0.220653856076691,0.210431484029337,0.179075498013369,0.166142004507139,0.129674821425897,0.0916149086620897,0.060826305271948,0.0133005005176777,1735.42437710246
"6",-0.279496225157282,-0.281076879903031,-0.352930609433168,-0.235343767108676,-0.0858201110187525,-0.108953159735046,-0.055271116870766,-0.00492093444961512,1.02110595384044,1.02836026243081,1.06566692570397,1.022757661237,0.978530538877688,1.0038969553659,1.00152853844939,0.998921080832658,0.240707385241769,0.218058302240329,0.190088513817493,0.175223999157099,0.129448570869125,0.0987648481873416,0.0578009118829212,0.0145748841820277,1736.17944472969
"7",-0.261785789664469,-0.0923826638728096,-0.225462776682629,-0.151408448191634,-0.108256529951707,-0.162851518294456,-0.0337223050191951,-0.0021762388804068,1.01645072388641,0.947956231526929,1.01467076046678,1.00325129704624,0.990055468653322,1.02436571473233,0.991590374598255,0.998261205860308,0.247816266892997,0.222251578257183,0.190807251603965,0.160666809864151,0.125887779504654,0.0899997165611715,0.0558206862116261,0.013512926630228,1731.80471887372
"8",-0.324192947127245,-0.349940026017904,-0.336583378076016,-0.201043435567715,-0.212538801511243,-0.102995350950716,-0.059834516349718,-0.017354938218612,1.04040451890397,1.05127297271652,1.05285494823928,1.00249508569413,1.02248985501056,1.00514434029391,1.00035181045219,1.00363787260239,0.228699281750398,0.233513363990473,0.185986136723383,0.167189387939502,0.131635369718112,0.102866791007094,0.0558127014048592,0.0149307286605494,1730.54355210874
"9",-0.474208916974449,-0.288016955456895,-0.267645807790326,-0.285970672813435,-0.145895644120145,-0.108818506490353,-0.0187879156615026,0.000143459999475915,1.08770635070479,1.0421163528873,1.01668748420469,1.04314103053884,1.00428797023361,1.00210319991599,0.988040060997609,0.997385266582697,0.224551148230024,0.186511632101683,0.177123828140269,0.166842918797961,0.142682694364257,0.11390196645306,0.0574534803383936,0.0132246051389033,1728.93923808544
"10",-0.250131579180845,-0.246448631733448,-0.235218681178564,-0.213996226015765,-0.176803082420624,-0.0959794640978909,-0.0254071651116752,-0.0022184223834514,1.01768385366257,1.02778576495853,1.02554367583939,1.01932429029243,1.01059627793182,1.00090596007505,0.988217106178122,0.998501737334727,0.2278584801129,0.223007613644927,0.18486627050501,0.153073551981478,0.130441315133786,0.0931994996957416,0.059358032205652,0.0133616875000915,1736.82345376454
"11",-0.227517118245599,0.0423141688825958,-0.198150120933346,-0.362439756427021,-0.137157604186426,-0.0928518418248762,-0.0248544849127658,0.00264389408657046,1.01807270930124,0.919960720265564,1.000118373486,1.06256301660062,0.998933807993715,1.00010465690538,0.986716697118424,0.996147424695157,0.231170041063041,0.200321588264765,0.166096443474411,0.174688431786639,0.122468783571444,0.0900796262613388,0.0617628989366776,0.0157645166888966,1726.33949807416
"12",-0.276345283131856,-0.176221762624432,-0.100831936005183,-0.126495635179332,-0.0872318108510744,-0.100893587939719,-0.0271433020730265,-0.00416487674613779,1.01370696478131,0.991409894859728,0.966921087610296,0.970665369376768,0.970918041993052,1.00230874075888,0.992661343426943,0.998920233394159,0.235928876838616,0.231443471696768,0.19790160990248,0.151186852480053,0.13570617100342,0.0865457069649538,0.0536234874562627,0.013139536542852,1727.33884512496
"13",0.0370323876214377,-0.0917947044380067,-0.272526864099065,-0.199476752645388,-0.194669405662585,-0.0903725887828544,-0.025980663618502,-0.00718320071238657,0.91388210284128,0.966272731956487,1.0394600271016,1.00596694741245,1.01796075830355,0.996930862225156,0.990723367034839,0.999750028056796,0.218893005406994,0.23300528330767,0.160051436864536,0.172836670146406,0.125088737613202,0.0889219943694889,0.0605430125773808,0.012742903604824,1726.45182190811
"14",-0.336543186186825,-0.103950731365337,-0.114371372450254,-0.152490050807494,-0.036563641130469,-0.0717058767738179,-0.00228885723592054,-0.00918900160687183,1.04701709052666,0.968124603308682,0.969901324304838,0.98894351143294,0.953412301514655,0.991944017245892,0.980348700982725,1.00181818875547,0.254921396771643,0.218863602374204,0.193728050738355,0.149809252096476,0.149185158399397,0.0995555556288401,0.0579962203038136,0.0137306055385838,1726.29474954894
"15",-0.213592992089286,-0.274403959443533,-0.329244030237313,-0.143009443449018,-0.124947603694496,-0.0973933875953423,-0.0670706349775059,0.00369155048580753,1.01251683713063,1.02560464557257,1.04475222183531,0.983809000733961,0.996185742148094,1.00502035212849,1.00130950089111,0.996595518922317,0.247220891221116,0.186673408169774,0.185830105894837,0.166243728535918,0.142449289018405,0.0936455292292324,0.0667450271849305,0.0127049357694384,1728.90600263945
"16",-0.312299765000128,-0.297140455428095,-0.143442597703074,-0.197474088144211,-0.166662718592234,-0.139985041215905,-0.0495041142938934,-0.0119338356947025,1.0281468987256,1.02389048475983,0.981992255969122,1.00963905119557,1.00988200946604,1.01382576987494,1.00102470844456,1.00143602346568,0.235578625455667,0.207408992237223,0.169092424620859,0.174038011775357,0.117328984607497,0.0981726498377041,0.057904938955263,0.0134360246273742,1733.76756711754
"17",-0.276900384626005,-0.225120492374962,-0.121720052357319,-0.171783549604347,-0.138653337049455,-0.0695858811554186,0.00357141195780599,-0.000582042176849789,1.03141407014151,1.01112130395151,0.970102927282198,0.989686912176153,1.00427527173862,0.989909423711925,0.981744236137092,0.997778837724159,0.231919520796187,0.197786220437385,0.192792874674725,0.169096781462321,0.132708238689219,0.0982447031907788,0.0568300662296947,0.0125119557363242,1734.82193208797
"18",-0.371143630562472,-0.351170117607879,-0.142227876310079,-0.188531520763972,-0.166301333160456,-0.147577307653706,0.000988965744946249,-0.0099332545435299,1.0517396422758,1.05000191065067,0.978016619063402,1.00635329572565,1.01484873322569,1.01438871587395,0.980221133509332,1.00124595382767,0.229934275646516,0.213300891314297,0.194374777650702,0.169770017851481,0.130376646423895,0.107013006113522,0.057553818271598,0.0131047744239764,1733.35135238574
