"","beta.1.1","beta.2.1","beta.3.1","beta.4.1","beta.5.1","beta.6.1","beta.7.1","beta.8.1","beta.1.2","beta.2.2","beta.3.2","beta.4.2","beta.5.2","beta.6.2","beta.7.2","beta.8.2","sigma.1","sigma.2","sigma.3","sigma.4","sigma.5","sigma.6","sigma.7","sigma.8","lp__"
"1",-0.290438569578461,-0.435088149289717,-0.249359029219403,-0.185729837742762,-0.154011032360818,-0.136981200390797,-0.0570371387257703,0.00334673400612876,1.01600036641668,1.07236149420753,1.02104686697532,1.01029910513386,1.0088940607907,1.01348422684377,1.00297593058643,0.995348675369789,0.229506742206156,0.175970550020554,0.171614709256998,0.147084604527705,0.115067839295872,0.0809925303089014,0.0505674421943599,0.0168377366769852,3674.47777222147
"2",-0.391789405313076,-0.315369551565525,-0.309486569796928,-0.255894920073224,-0.186569616384102,-0.15363769546796,-0.0471471320545312,-0.00417613999865123,1.05410363697726,1.03733926279617,1.03358229381109,1.0302995300226,1.01685048564787,1.0216968435635,1.00074220226279,0.998389348297028,0.201218597489507,0.174234978358704,0.156560082410288,0.143878847163143,0.115267088516466,0.0802091250327951,0.0538384134883638,0.0172060552647889,3679.41323267965
"3",-0.200336018926112,-0.248861789389107,-0.22312332883587,-0.274490510074148,-0.282116461437715,-0.12051740044661,-0.0512092085845144,-0.00341401462755797,1.00604890534534,1.02289975684882,1.01372510471329,1.04018252042488,1.04308989461775,1.01133942952228,1.00136029813428,0.997865095895805,0.224056122746008,0.169594965747782,0.153084782029769,0.148417493206886,0.122150267269979,0.0734114349780467,0.0499704657600001,0.0173080354744563,3678.67996298405
"4",-0.174781493525494,-0.343266933013291,-0.243279491733454,-0.125369655285329,-0.109328695307988,-0.107611875739486,-0.0615785710509292,0.00276877664703711,0.992999490634816,1.04717063961012,1.01867894307016,0.992769741530258,0.99388428947254,1.00860041978584,1.00530453248786,0.996384546104678,0.213505885654352,0.173175706671136,0.171990413482707,0.144536629635586,0.126088934716686,0.0808071077794322,0.050052680266686,0.0184106873291315,3682.19783660805
"5",-0.234874958651573,-0.36603648952045,-0.296967530357788,-0.230176951633656,-0.138207628201578,-0.124602954897683,-0.0574680667927156,-0.0154116441119831,1.00418901770553,1.04993945075401,1.03463779951288,1.03170280163622,1.00232595527402,1.01064239946982,1.00292528596477,1.00141549838598,0.245074511456884,0.167685907383803,0.170589635104816,0.153181525976624,0.12354905350817,0.0756308528057921,0.0516084217581645,0.0174747040267136,3672.90604388332
"6",-0.192064517138327,-0.259918587128862,-0.295465139540482,-0.188631260745014,-0.0410468849596547,-0.119075803298086,-0.0359238582383902,0.00271918722466635,1.00217738069382,1.0174483347023,1.02955379090066,1.01156821070736,0.973278257340853,1.00921574521986,0.998358951924564,0.996230765645616,0.21351729389256,0.167925832724194,0.16254124846907,0.141063904134122,0.125892968329098,0.0793500771085464,0.0507882996387935,0.0175715070949413,3679.44588951434
"7",-0.372354726991034,-0.395984544453092,-0.40754664575513,-0.328288563898058,-0.155439106950027,-0.0750052021895053,-0.0597024742011452,-0.00532719039146133,1.04833202533283,1.06244398176076,1.06322084046785,1.05324495059305,1.00594463356593,0.999604540314173,1.0046902242931,0.998430334481396,0.234939596929225,0.172983957704948,0.161110199315097,0.132558237646343,0.138038784394176,0.076731892998631,0.0487747852301066,0.0176589311436942,3676.83566740121
"8",-0.200996977208005,-0.423313041489505,-0.322112911905102,-0.208184696661386,-0.0836541699413879,-0.0650070107586927,-0.0275891846562798,0.00845054378768292,1.00090238656449,1.07068931273854,1.03983435188781,1.01624454001275,0.98761162263683,0.997974693551844,0.995684686342911,0.994564599122393,0.222552700607399,0.165030945199996,0.181597317568063,0.137595585506158,0.138308689066397,0.0789740066574286,0.048897489511619,0.0181338375460983,3674.36632210419
"9",-0.270099063024127,-0.331499735861506,-0.205164834227665,-0.2279942614042,-0.214137654830969,-0.102263823625455,-0.0454783646232737,-0.0092822749671663,1.02586158691682,1.04395734043024,1.00521090002179,1.02752246990029,1.02236707358634,1.00649697313711,1.0005635913037,0.999923514457259,0.212620867412325,0.176908025935338,0.155758250631237,0.133956422056522,0.123768980983692,0.0772899021368629,0.0489058094264774,0.0172718049596911,3679.68131009702
"10",-0.333274697577723,-0.292758420790614,-0.222673665837591,-0.341624687901057,-0.193820707970739,-0.122977621677342,-0.0514441526821311,-0.000215286152463364,1.0412161219819,1.03216046615549,1.01412920148817,1.05846215636163,1.01312115602734,1.0130203156976,1.0007753347294,0.997178491467557,0.216640401423849,0.180751060258841,0.166890797534488,0.149420531469825,0.135526811602494,0.0795002812400253,0.0519097846743127,0.0184242164451835,3678.79107636987
"11",-0.228776635650622,-0.257319443079378,-0.324906383334764,-0.277106842236168,-0.179236536585551,-0.0909147275538104,-0.0233508062230586,-0.00404663069526072,1.00814491167911,1.02418776165409,1.04509643066883,1.03720833489871,1.0114435187531,1.00089680362434,0.994789034349995,0.998133082794542,0.216796735972189,0.178774630238114,0.164920362082887,0.150643539159585,0.129133159571346,0.0768580542019695,0.0524657809405754,0.0161741217526292,3680.34845755139
