"","x"
"1",2.21805759170954
"2",2.36906581283871
"3",2.21475273108311
"4",3.19176638478112
"5",3.11411132704361
"6",2.88821973341443
"7",1.22043011645445
"8",3.53564863688765
"9",1.6848873274935
"10",1.64195845392624
"11",2.54812360780079
"12",2.98200667032683
"13",2.82785300473437
"14",2.84205676402978
"15",2.81736323225718
"16",1.2201360568405
"17",1.52081608111546
"18",2.38498492836239
"19",1.87394926216446
"20",2.92799501567183
"21",1.96387147612921
"22",2.41377150629459
"23",1.57711659392212
"24",1.8359655013033
"25",2.47087704405004
"26",2.76078141925562
"27",2.79211009189039
"28",2.29400851202335
"29",2.58550605160068
"30",2.48494229584628
"31",2.22007175019519
"32",3.08996165256398
"33",2.54868682207415
"34",2.79001415037558
"35",1.72900634403796
"36",2.04998550101653
"37",1.99147280526484
"38",1.55133868327788
"39",2.28745657543693
"40",2.69674935907795
"41",2.08261198275465
"42",1.97464006436448
"43",3.00454357515967
"44",2.98706326932611
"45",2.90611119595488
"46",1.79698033550318
"47",2.71829247598424
"48",1.95065054447424
"49",2.4727156323409
"50",2.60810228039662
"51",2.26050868890505
"52",2.25783048938188
"53",2.29565355142876
"54",1.69219548739845
"55",2.20164853243683
"56",2.65770096448995
"57",3.2361501973785
"58",2.18010331784352
"59",2.05184655954809
"60",2.48945782033641
"61",2.2591305218447
"62",2.65962239760056
"63",1.80395819678397
"64",2.12956576305429
"65",2.16902976112671
"66",3.0254573592963
"67",1.91481386612789
"68",2.03454755649752
"69",2.55834856613097
"70",2.47697228484768
"71",1.80507898395181
"72",2.40322941441727
"73",2.69070623113591
"74",1.99556745253694
"75",3.8014282371092
"76",2.13498844832149
"77",2.19258387252717
"78",3.26858018160415
"79",2.78233409511645
"80",3.06090685254843
"81",3.40397457351491
"82",3.21032321778716
"83",2.26565010581293
"84",2.94450670791478
"85",2.67735427531538
"86",1.92988435051102
"87",2.4406101214116
"88",2.43333079280336
"89",2.63688337593806
"90",1.20956367665085
"91",2.77085903463051
"92",2.24030535897534
"93",2.49858195688998
"94",2.27664803382265
"95",2.22306604730702
"96",1.26959602302468
"97",3.50395079121498
"98",3.36121802634654
"99",1.45110748068302
"100",2.44876966610834
"101",2.37558011580766
"102",3.35639280360015
"103",2.73526741541065
"104",2.63962835941812
"105",1.87648216426945
"106",3.17997429884317
"107",2.37550973880397
"108",2.87460026851115
"109",1.86424902609803
"110",3.60223783465993
"111",2.30477812294895
"112",2.40368286424647
"113",1.90286434448825
"114",2.35943549732229
"115",1.7351171138334
"116",2.56968910825235
"117",2.1848617857287
"118",1.85761323935942
"119",1.96018381902259
"120",3.6705117281086
"121",2.35759876636941
"122",2.68275887681631
"123",2.90008883104125
"124",2.5640614293689
"125",3.24609949097753
"126",3.46904023816773
"127",2.36129295399056
"128",2.82610480480604
"129",1.77709225629759
"130",3.47249564455574
"131",2.99324632117333
"132",2.12653755571927
"133",2.46506540838952
"134",2.19384454153281
"135",2.23034526892629
"136",2.08960967110269
"137",2.24292352564173
"138",3.20225251032869
"139",1.86417901378492
"140",1.348580011468
"141",2.43330844698342
"142",2.90103018590239
"143",2.09220564389309
"144",2.97958944884974
"145",2.00221075676666
"146",2.63449467413274
"147",1.74514149647026
"148",2.95220209084845
"149",2.0698083130638
"150",2.2035785189212
"151",2.75237484681572
"152",2.24591252848797
"153",2.1315437836318
"154",2.27430572332556
"155",2.59380573679081
"156",2.42291069363673
"157",2.32499063098316
"158",1.96420699168675
"159",2.73545944581663
"160",2.20006505872573
"161",4.34450387701696
"162",2.9738749663361
"163",2.17958351846156
"164",2.40456510721822
"165",1.9954669402301
"166",2.17893121169609
"167",3.77617277549958
"168",2.17325066241137
"169",2.73051473741762
"170",2.73510436676328
"171",1.7616879013484
"172",1.55917282892873
"173",2.11973474784492
"174",3.07920415302537
"175",1.69745407909561
"176",2.61415198935596
"177",2.28319956093916
"178",1.85230944896128
"179",2.77103079517433
"180",3.32542128658951
"181",2.2841195872024
"182",2.55893884652548
"183",2.59349680771155
"184",2.71671555943931
"185",1.92110851109611
"186",2.3516675308102
"187",1.59359723625274
"188",3.75794781593066
"189",2.67386084813394
"190",2.63571004186108
"191",2.86122218672826
"192",2.7999674219649
"193",2.41065647640325
"194",1.33843226729424
"195",2.77762152759247
"196",3.49695700242952
"197",1.60265397319507
"198",2.61020730895647
"199",2.59937721831021
"200",1.97503639072743
"201",2.80570480642631
"202",2.2035558640209
"203",2.13092640874906
"204",2.78537531762833
"205",2.12240990159086
"206",2.83024921278001
"207",1.96657890879804
"208",2.71013209790521
"209",1.54476133603591
"210",2.12946487084163
"211",2.50089530005581
"212",1.85222112034747
"213",1.34262811567145
"214",1.67263569286578
"215",2.17349975388015
"216",2.38921530205961
"217",2.23467865172841
"218",2.4042723348005
"219",2.82368591126177
"220",2.41379873167096
"221",2.43074930196322
"222",2.75097277941345
"223",2.15319143786241
"224",1.87083031786322
"225",2.21010697087472
"226",2.7055890090119
"227",2.41968336667201
"228",2.126715498597
"229",2.80884896622875
"230",1.69744963496388
"231",2.23001242472125
"232",2.2644846759766
"233",2.04072771980783
"234",2.47451884105101
"235",2.41291475711824
"236",3.0225009581283
"237",1.79881569965456
"238",2.36404361497119
"239",2.42333672830826
"240",2.05292700398935
"241",3.33571945007273
"242",2.89021016609626
"243",1.68450416329093
"244",1.94992489486659
"245",2.6990384098643
"246",1.90346424296361
"247",2.54299617424573
"248",2.47046806530182
"249",3.12175652583352
"250",2.74959706832346
"251",2.5775912205271
"252",1.97973076759496
"253",2.50601528402943
"254",2.53217318526007
"255",1.80901480389665
"256",3.16469253780052
"257",3.58285072625965
"258",3.10857957342108
"259",2.58274616601197
"260",3.32580938051956
"261",2.93560292835405
"262",3.08669055120141
"263",1.64219694772733
"264",1.46909643579443
"265",3.61105765603822
"266",1.60731618404904
"267",1.54349107465651
"268",3.7123818848494
"269",2.7901421265245
"270",2.59656302328002
"271",2.4618303404013
"272",1.82540631943853
"273",2.23262890851581
"274",2.57719518139177
"275",3.02092109766059
"276",2.49366553410657
"277",2.65538115322102
"278",1.99534576208443
"279",2.06894578728718
"280",1.99007356636873
"281",2.33606067953836
"282",2.27438211723075
"283",2.22253863658071
"284",2.07609296087356
"285",2.16800847665857
"286",2.09691183721326
"287",3.29804590893822
"288",2.17297684361479
"289",3.4372920099453
"290",2.15079219369357
"291",2.95794029080825
"292",2.94787265902103
"293",2.72083771037723
"294",2.16982820828811
"295",2.06077020661176
"296",1.85838206165645
"297",1.71168564822653
"298",3.29437132613882
"299",3.95046872933983
"300",1.89771396075215
"301",1.86265564982562
"302",2.34702591930346
"303",2.61140246335223
"304",2.94044417575879
"305",2.15042893468058
"306",2.53948488186753
"307",2.15715535689018
"308",1.94840608730387
"309",3.90699312273947
"310",2.24160508834604
"311",2.72112338009266
"312",2.70861821068398
"313",2.51195225461295
"314",2.92876921387811
"315",2.19315141556123
"316",2.12372666768812
"317",3.55886165454568
"318",2.08474208164483
"319",1.53390651014748
"320",2.84178928115998
"321",2.33027943137608
"322",1.92977635140496
"323",2.3628694044302
"324",1.8542932528567
"325",2.30462329547402
"326",2.60619978210035
"327",2.59336681441007
"328",2.95684115748326
"329",1.90280942926418
"330",2.45514206986013
"331",2.38300837683698
"332",2.41368436928193
"333",2.78075043179058
"334",2.2073454921232
"335",2.07723894281278
"336",1.74112185055225
"337",2.00606299681467
"338",2.1784124078779
"339",1.9144286242587
"340",2.58219853797439
"341",2.27356434034584
"342",2.78570018943949
"343",3.08650455915151
"344",2.22356519408212
"345",2.66417686976349
"346",2.75906550424405
"347",2.40073740626006
"348",1.68382929669677
"349",2.14541918899571
"350",2.34158379213394
"351",2.72966225947902
"352",2.4370941809262
"353",2.21174369778652
"354",2.31780236606529
"355",2.45662141532242
"356",2.34392468321058
"357",1.94353599370235
"358",2.93009567507191
"359",1.89804599127195
"360",2.93372646899425
"361",2.50342244144477
"362",1.92789152440406
"363",2.44230459321655
"364",2.95998791222075
"365",3.73439790757617
"366",2.12861710298635
"367",1.97342274386959
"368",2.2941922087502
"369",2.29260804962565
"370",2.16090147973299
"371",3.21318962555559
"372",2.45799553285055
"373",3.40579252997617
"374",2.32392544120651
"375",2.32423075598133
"376",2.32574739841
"377",2.5743371989462
"378",2.95638635046903
"379",2.04380423800984
"380",3.24048069987996
"381",2.37976638159116
"382",2.1809596251353
"383",3.48006157211746
"384",3.46408977901104
"385",1.900976973711
"386",2.55612248078386
"387",1.90502851986203
"388",2.27532054873415
"389",2.9537864975726
"390",3.35686664440883
"391",1.89802395749631
"392",2.01581023221712
"393",2.87177430019372
"394",2.74092209368862
"395",2.53005590292409
"396",1.69287194921984
"397",3.27742191031001
"398",2.15303091218495
"399",2.41228735079259
"400",2.01156661543322
"401",2.0147886979734
"402",3.14986921620226
"403",1.67667130498713
"404",3.1181871104249
"405",1.86047467940344
"406",2.0731543271345
"407",2.93864580190886
"408",2.75944075165179
"409",2.38838368353543
"410",3.08851636580732
"411",2.40096012317151
"412",2.09287501318942
"413",3.00136575880303
"414",2.25704934946766
"415",2.35775413067572
"416",3.13019633151318
"417",3.46624862844675
"418",3.40162190979248
"419",2.36918268512401
"420",1.89151206368284
"421",2.37623495294533
"422",2.1245369500689
"423",2.45794433614036
"424",3.00690400267025
"425",2.56342224293557
"426",1.91811436460467
"427",2.33700729715686
"428",2.30353722273066
"429",2.4797315606382
