draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta.1,beta.2,sigma
0,2774.732910462123,0.9999434065360295,0.02830085639412418,6.0,127.0,0.0,-2773.2362200664547,0.0596891612656846,0.7786364170597754,0.20615992303652056,0.03778316232453567
1,2775.2687882050886,0.9652997004316871,0.03210205059113065,6.0,127.0,0.0,-2773.649791456558,0.055201827750004005,0.770280564098833,0.21588325630599497,0.03813408467511767
2,2775.321734664493,0.9852406869322121,0.037270854964339344,7.0,127.0,0.0,-2774.0114620515756,0.07174784387350105,0.7604271335472937,0.2212738025363279,0.03806184771761079
3,2774.433111169236,0.9379227049187022,0.03777281347345425,6.0,63.0,0.0,-2772.4622071498243,0.04859885859551356,0.7782817727080783,0.20977091889920002,0.03766898953175668
4,2774.815439121841,0.9979000081729282,0.02830085639412418,7.0,127.0,0.0,-2771.899056947099,0.06402506644956275,0.7655978167504666,0.2185415516391436,0.036344254919198606
5,2775.304939104811,1.0,0.03210205059113065,2.0,3.0,0.0,-2775.2016360711586,0.0552048440491684,0.7702648029566836,0.21592039155945197,0.03812857823273406
6,2774.5356915228385,0.9870343273737618,0.037270854964339344,6.0,63.0,0.0,-2774.258955902252,0.07189877202524386,0.7561211896412668,0.22591207031787916,0.038328584375505355
7,2774.43819244359,0.9617530046620446,0.03777281347345425,7.0,127.0,0.0,-2773.7955091369195,0.05061269923723936,0.7801866033522467,0.207255032005508,0.03766982565510811
8,2775.5427285457204,0.9743309918423534,0.02830085639412418,7.0,127.0,0.0,-2774.0660485463727,0.07087195670008904,0.7623480148527375,0.21966862572940918,0.03709851116512407
9,2775.970714053507,0.997956275531041,0.03210205059113065,6.0,63.0,0.0,-2775.1343825144927,0.058482146970744324,0.7733877207553526,0.2116286525776367,0.03796763754363442
10,2774.055525111986,0.9998420018691244,0.037270854964339344,7.0,127.0,0.0,-2771.924132254299,0.06052729802253406,0.7740667052613828,0.2103700222800951,0.036044350993067645
11,2775.7470811198855,0.999967002469036,0.03777281347345425,5.0,63.0,0.0,-2773.1187737110517,0.06123500150286971,0.7752705931194114,0.20875308584326496,0.03736605586247166
12,2775.13396898628,0.9639364289131486,0.02830085639412418,7.0,127.0,0.0,-2774.348578207646,0.06783852272418497,0.7580490013079502,0.22514832647910465,0.03758028647300364
13,2776.111814180825,0.9995193625535612,0.03210205059113065,7.0,127.0,0.0,-2775.6182065182948,0.06205083882169813,0.7721201904297953,0.21191882163163614,0.03732838175291993
14,2774.222726039343,0.9994264999482864,0.037270854964339344,6.0,63.0,0.0,-2773.7712987153595,0.061231405624395725,0.7752379368855494,0.2088626417414211,0.03620157946174614
15,2775.4551283616947,0.9924855335274815,0.03777281347345425,6.0,127.0,0.0,-2774.553228102833,0.06653599166108165,0.7710433578844269,0.21156750149312414,0.036929216052400037
16,2770.79814864861,0.6849715055812878,0.02830085639412418,7.0,127.0,0.0,-2766.8380054359072,0.06702376650290512,0.7706752852252576,0.21097070913625487,0.03628989201817946
17,2774.8395117618193,0.8585696624286425,0.03210205059113065,6.0,79.0,0.0,-2773.6609993845336,0.07080508754645348,0.7668615114981518,0.21437202058606192,0.03794660617756284
18,2770.6266849798476,0.9024429013501322,0.037270854964339344,6.0,63.0,0.0,-2768.75429920376,0.07486541192508138,0.768792895165584,0.21126115552080085,0.03559417963580859
19,2775.4203534924864,0.8669882161310205,0.03777281347345425,6.0,127.0,0.0,-2773.9562140009166,0.059200935907194496,0.769348163625112,0.21588211037836763,0.036676778261715066
