"","alpha","beta[1]","beta[2]","beta[3]","sigma","lp__"
"1",-0.277392309550513,0.700116036567303,0.301887035397679,0.329768300112927,0.133614618062898,12054.2528114155
"2",-0.270907345240484,0.700072871483426,0.299919741078467,0.329348171279362,0.133426026415608,12055.6131665369
"3",-0.234227099678431,0.688880196897403,0.302474596389654,0.317285591138007,0.13522099190192,12057.853142004
"4",-0.24929665659234,0.689217504921994,0.30724331786875,0.315817259171548,0.134307056947087,12057.6950658566
"5",-0.254048083852771,0.712815921397377,0.282973481359484,0.321691898064607,0.134594257290174,12058.0940167383
"6",-0.24615475803988,0.705878643423434,0.288951441253639,0.314876870912388,0.134317988097598,12059.5605839481
"7",-0.238501803301916,0.69838666839129,0.294424571414126,0.314338283728618,0.134946833191021,12058.9245032769
"8",-0.240588329917724,0.711986741873332,0.282770967163283,0.301755864265811,0.133964512138933,12057.0867021332
"9",-0.244055671525231,0.709325837534233,0.286517513975226,0.303612992332758,0.134477168252018,12057.7310360221
"10",-0.225666811677631,0.708139410363387,0.280387196758029,0.317180555856071,0.134058974584485,12054.456244128
"11",-0.256276865051426,0.701279188328498,0.297144263562628,0.312164493691337,0.132807825844732,12057.179904283
"12",-0.246067457077067,0.705430829323003,0.289557275763466,0.312502328886018,0.133534013108694,12059.1500531019
"13",-0.239302711388538,0.701180084999359,0.292283815595231,0.314730381398937,0.13549628815909,12057.8870346118
"14",-0.262472616624515,0.698118139387611,0.30001281036339,0.32275707318368,0.13428295566597,12057.603488857
"15",-0.258843057388302,0.709439886171798,0.288505956113797,0.315362383173483,0.134421149663475,12058.532114041
"16",-0.23949117695483,0.704318393902056,0.288066380733874,0.315362511483505,0.134018316132423,12058.5627414531
"17",-0.250439382256142,0.707593338268449,0.288629424044178,0.310223333086544,0.134543887813169,12058.3757799107
"18",-0.236978779869761,0.70010354800561,0.290462073861605,0.322278891334422,0.133922541034733,12056.5163869456
"19",-0.238165300376761,0.696752586946039,0.296388934942931,0.313318827018996,0.134300140785902,12058.8577337125
"20",-0.253018299925917,0.693295551850838,0.303311489213924,0.321408466172111,0.136021592230548,12057.1469008859
"21",-0.252962912972385,0.693765092667244,0.30269319738885,0.32144457168881,0.135924234442644,12057.5399641604
"22",-0.243816932514708,0.702042693145887,0.291819271060603,0.320547981676923,0.132986996714364,12057.3513506057
"23",-0.244092549770778,0.703123679600571,0.292175775761408,0.311955518407509,0.133301221951301,12058.1013561974
"24",-0.243051633800761,0.700291616282092,0.294013471942695,0.314208169490175,0.133516984590421,12059.0762492364
"25",-0.277005330494516,0.710940479992426,0.291793141430115,0.321721159343779,0.134875599649974,12055.6187775686
"26",-0.249289290976259,0.699482414746221,0.295362365549556,0.320219660222752,0.13404910152327,12059.15839523
"27",-0.244700213982476,0.695035953780404,0.298502076028327,0.323609317904653,0.132986974116568,12057.5667266994
"28",-0.267041881436769,0.692429801288392,0.307515463801396,0.323307602544454,0.133942005824846,12056.5608024549
"29",-0.264709992845893,0.692544014864769,0.30666410747549,0.324827104192207,0.13375197572839,12057.0457797068
"30",-0.240529593932167,0.722357787738302,0.271679352175887,0.302512596943476,0.135046362899753,12056.2882161503
"31",-0.235340115970104,0.70318617015748,0.289373159034417,0.30619885849287,0.133792857637647,12057.4045810145
"32",-0.25158843542227,0.714483892491056,0.280944187992433,0.322457360825238,0.134400843825513,12057.0300928171
"33",-0.248084516573475,0.715335567330004,0.281167306353078,0.301260924884999,0.133550545085469,12055.2662128777
"34",-0.252564710063765,0.714462432140802,0.281193877218405,0.318112875887772,0.135990288650043,12057.2962399793
"35",-0.247147575812948,0.695384200595649,0.300085861704731,0.314473641603598,0.133003653777131,12058.260117697
"36",-0.223463695493846,0.696214711937375,0.2926890192154,0.310155558743253,0.133631553784347,12056.3160767065
"37",-0.261827617501227,0.713905896799457,0.283101624355392,0.328922350191306,0.135070627589774,12055.0953054815
"38",-0.262783007673737,0.708581606612878,0.290773867469054,0.315418663675769,0.132992627111716,12057.5349327731
"39",-0.254295477859101,0.690199387244878,0.305320941638654,0.325805678091199,0.134485241707791,12057.7494357914
"40",-0.247231171559397,0.693639614555895,0.301354061401016,0.314966842625702,0.135614753422434,12057.7069711896
"41",-0.23303872571596,0.702865315701581,0.287740627772473,0.31324468112404,0.132413632854567,12055.5851737233
"42",-0.243456282770699,0.704457944274876,0.28901275244798,0.315856128012306,0.133524274692913,12058.6560832327
"43",-0.243464591115697,0.703000717844078,0.291596121856958,0.316770113738965,0.133981447691744,12057.7654956385
"44",-0.252976142289676,0.709297757864293,0.28754751541759,0.314795856560005,0.134755192359778,12059.3806976305
"45",-0.252310796141478,0.71831867804619,0.278949138501052,0.312000723046201,0.134579012709602,12058.3843677113
"46",-0.252162653634641,0.716572547482103,0.28114481721721,0.308481086725828,0.133675057445199,12058.2437646914
"47",-0.226559108911875,0.680185072686621,0.309377541310037,0.318960819056998,0.133461604705701,12055.1744816001
"48",-0.258993728368058,0.689009580618559,0.309262180120705,0.322692857295134,0.136345837297611,12055.5130724266
"49",-0.255920838880521,0.685744391882916,0.310160199006528,0.328366006082454,0.134065977547568,12057.1388900465
"50",-0.262081208526078,0.703758105121463,0.294712228048191,0.319287395033539,0.134371187054923,12058.1633497988
"51",-0.239150171374335,0.719713025386761,0.273845402185852,0.304068476313415,0.134712541364957,12057.0786512129
"52",-0.258079341702403,0.720019057944752,0.276936931247211,0.319994126146907,0.133633420799832,12057.2851242133
"53",-0.259557464034792,0.717941132748118,0.281083933796745,0.314325392510189,0.133454122573801,12057.8775164119
"54",-0.259499192933492,0.71016034267318,0.287811413443172,0.316524962281208,0.134289910771234,12058.5756459323
"55",-0.249445476728236,0.726784469520465,0.269347133699917,0.310254156224694,0.134314673890333,12057.7841093502
"56",-0.242937966098351,0.704767594255116,0.289572862876386,0.313153693070092,0.136354679904629,12057.5527087875
"57",-0.243161654417637,0.706378379603355,0.287444109325424,0.315430559213272,0.135825109006336,12058.3204151294
"58",-0.2451150030253,0.71486953764389,0.280574134559011,0.30766936671945,0.133554161184726,12058.6195734453
"59",-0.255144759321665,0.697907499964618,0.299370711563507,0.32024568961911,0.13385089223551,12058.5467028357
"60",-0.245562356200736,0.693559828982202,0.299755170674067,0.322175889625123,0.134289675463843,12058.2370438651
"61",-0.242536709147547,0.708117200741771,0.286936684448332,0.309712076993469,0.13467263384231,12058.3443745208
"62",-0.244045053948223,0.705047809136548,0.290303802457779,0.313025898003242,0.134294027664645,12057.7072792129
"63",-0.244696844294225,0.704218649276313,0.289671590046509,0.312942089582174,0.134320346235751,12057.7790265834
"64",-0.245634793849752,0.707698143859428,0.286284191137207,0.313359085280928,0.134605420556735,12057.6236199722
"65",-0.255205055175791,0.70970475570559,0.288060534647343,0.317628502020774,0.13316366498597,12057.1523960211
"66",-0.232215590316246,0.727809475603201,0.264063308418373,0.30403891405711,0.135048455964772,12055.1445470513
