"","beta.1.1","beta.2.1","beta.3.1","beta.4.1","beta.5.1","beta.6.1","beta.7.1","beta.8.1","beta.1.2","beta.2.2","beta.3.2","beta.4.2","beta.5.2","beta.6.2","beta.7.2","beta.8.2","beta.1.3","beta.2.3","beta.3.3","beta.4.3","beta.5.3","beta.6.3","beta.7.3","beta.8.3","beta.1.4","beta.2.4","beta.3.4","beta.4.4","beta.5.4","beta.6.4","beta.7.4","beta.8.4","chi.1","chi.2","chi.3","chi.4","chi.5","chi.6","chi.7","sigma.1","sigma.2","sigma.3","sigma.4","sigma.5","sigma.6","sigma.7","sigma.8","lp__"
"1",-0.152336815043097,-0.139027363340011,-0.104462952196839,-0.0178462254235153,0.0258367785052295,0.0703420966994203,0.0608998459424911,0.00608056085556983,0.989384907302609,0.0363198009236739,0.0105452909514752,0.226440717687023,0.481728291777095,0.666575170644319,0.808796072255337,0.949765471780772,-0.102845518326844,-0.0848309437443188,-0.0732669281237911,-0.0386208175410298,0.0280485914197736,-0.0575001124464271,-0.0250722166656363,0.00415835275009986,-0.0148046326324483,0.0419526021606683,-0.0329556584788153,-0.0239033448893834,-0.0109515822291396,-0.0357565804060048,-0.0300554065060619,0.00480615951085096,0.947731473623379,0.97348144677161,0.745865681918529,0.480875963651446,0.303944635304336,0.173100379197982,0.0479171766923001,0.223849082224649,0.17249325652328,0.15781223367142,0.126985672747481,0.101536116188314,0.0750702888597636,0.0393570103453665,0.011279063993088,29764.3485254473
"2",-0.138874232445034,-0.191085666363333,-0.143778038338829,0.0203029939882829,0.0314272025768008,0.0657865104864617,0.0631023778609955,0.00771043667749849,0.982801710753279,0.0967218750985,0.0064336687595155,0.206253930650384,0.472221446320481,0.653043929605094,0.796198504361137,0.948613681363666,-0.108932645519105,-0.0897159382613304,-0.0590896557718477,-0.025216700207181,0.0221505664186069,-0.0576959755500981,-0.0263542640559066,0.00387302394890809,0.0192014179833636,0.0315392144828616,-0.0242224082236069,-0.0245409447303056,-0.0120293314992863,-0.0292574200606664,-0.0306034730843132,0.0054715027114783,0.905532843862914,0.990832268931447,0.752373694114431,0.491705107075907,0.320264991283347,0.186310683917633,0.0485246606426775,0.218363983505599,0.175643174335198,0.154404704371566,0.131801084729594,0.101974298383918,0.0756375077542849,0.039116775678396,0.0117696426780248,29761.428376778
"3",-0.212732626253359,-0.116362463202025,-0.12606704028639,-0.010650110445885,0.0162847864010726,0.0367996580500036,0.0554104206472995,0.00579236056641711,0.997947694157281,0.0424943225089134,0.114951224122622,0.226890869623272,0.47685920302525,0.6810113821049,0.801799717730343,0.950570278545583,-0.0584603569773529,-0.109257811038245,-0.0832279812708449,-0.0462170646481693,0.0380771525749993,-0.0517697184436123,-0.0233914203493603,0.00398282649144297,0.0352344916246412,0.0236078230036154,-0.0290078847085452,-0.0212164017957974,-0.00370627339543303,-0.0218235640450942,-0.0269914354390773,0.0058247870762474,0.936985055761994,0.877492678805674,0.744167807784465,0.488344178837819,0.299135220367709,0.182199084060781,0.0471058129616351,0.22295044641512,0.172863564941197,0.157533976393429,0.129601266155804,0.102140557450363,0.0763917925586327,0.039845385194603,0.011667387373002,29761.2302990162
"4",-0.214198397464481,-0.129389935514641,-0.12581146893162,0.000526691399135098,0.0425533625146307,0.0664887307162444,0.0587905646284921,0.00811752995360489,1.00330203899383,-0.0726222132065049,-0.0258442408480277,0.154324106826289,0.463421915497603,0.666020922869055,0.794941846450198,0.950493262733796,-0.0793426205667206,-0.101385744871238,-0.0600919862530453,-0.0389185646959599,0.0190609221115946,-0.0518003848634169,-0.0172380469748121,0.00377276919473948,0.0269508453388594,0.0311264724405847,-0.0195197460434787,-0.0241215155368887,-0.0146703536454599,-0.0297717578024704,-0.0287835878131797,0.00526641804783682,1.05760645869787,1.0161543588794,0.814296093650948,0.495220311914969,0.304849991941326,0.188394983904588,0.0464919530897684,0.222540905215205,0.17561967574848,0.156032331771517,0.132089560879971,0.103101374473965,0.0769076895739629,0.0391368580788648,0.0118208403996967,29768.4649258179
"5",-0.119810805749144,-0.181896347000656,-0.123675525039128,0.0236978032081071,0.0175820413785188,0.045831586983098,0.0736522305812179,0.00738425086651187,0.977562341733272,0.122640711640642,0.060292701197788,0.223537955309934,0.497475439234018,0.657915014631547,0.793370255695899,0.95316119363961,-0.0921771299798642,-0.0937363367466444,-0.0765054293618344,-0.041025315116759,0.0159344176046658,-0.0526085309585295,-0.0226112142940143,0.00283906815779724,0.000418080993652898,0.0322843273897044,-0.0203480039848541,-0.0421814466319107,-0.0170190333070564,-0.0334854823391274,-0.0258132994450068,0.00371519633907077,0.872779853492513,0.929045938647643,0.737069115679621,0.470507136120548,0.320469031616548,0.18473515796739,0.0440629228660007,0.219642784424756,0.17585888804459,0.158259070696525,0.129212171010464,0.105481064957936,0.0768610123559112,0.0402758992926932,0.0118909614772298,29752.1211759396
"6",-0.143047586961762,-0.107352448876362,-0.112782253295099,0.052898123095523,0.0126848124485268,0.0581027282014943,0.0612599550820946,0.0051918952681154,0.983139712939258,-0.0670428551690967,-0.0544606395659759,0.1932003048125,0.486648070245349,0.66302381847255,0.794973810070889,0.950421874927956,-0.0908597029861692,-0.104884670914501,-0.0808498616557016,-0.0455352176975504,0.0264810977763909,-0.0524511931280367,-0.020040316493889,0.00474676608998986,-0.00630078671619516,0.0254508961052121,-0.0416027040361737,-0.0293897649180573,-0.00206341996210481,-0.0285962058472422,-0.029776993945513,0.00461836388214044,1.04394616547649,1.04261205669775,0.759181940578471,0.479417565066991,0.310872930573492,0.187096180999243,0.0475365706414739,0.220274229067045,0.172112728659904,0.158488447322755,0.129345493199686,0.103369694104757,0.0758194473957053,0.0383325624312045,0.0115753134904761,29767.9621454886
"7",-0.10462072227755,-0.130420097604356,-0.108088475664712,-0.00744056840781509,0.0648114965003331,0.0363978309970082,0.0675478431268127,0.00735195428668054,0.974415648348794,0.0378887383082555,0.00609377107313466,0.229797334133742,0.448947714114276,0.658914554335562,0.79004096983913,0.952131451296687,-0.0975743527108059,-0.104001475362008,-0.0625329213334076,-0.0432742495359374,0.015926030678719,-0.0457072960064352,-0.0242981536149279,0.0030234964224073,-0.0142397317347034,0.0270196579600629,-0.0308190945275875,-0.0231340944237765,-0.0121692866159107,-0.0253413325655673,-0.0294786417109639,0.00389119976150592,0.946036911270991,0.978138409460205,0.740830107680684,0.505558935825642,0.321266112627139,0.191163727807696,0.045148401591655,0.231113249316727,0.175059481453148,0.15370838945427,0.131047938266485,0.101511538645511,0.0749924441740109,0.0387384269894989,0.0116314144928765,29764.0725770894
"8",-0.178073314353925,-0.160787781859697,-0.112322234621055,0.0280950324100009,0.0547033011197667,0.0558245567320711,0.0540422841876446,0.0092902421053866,0.988787442354745,0.0774922733343313,-0.00923303112088634,0.159826283236416,0.457460953011023,0.661087287066071,0.795044687667374,0.949646780046539,-0.0863643723086591,-0.0922261149607906,-0.0540484361154078,-0.0525624892664626,0.0155737336659328,-0.0507420432516472,-0.0174943418024356,0.00215959263782748,0.0168673166264234,0.0237651178021061,-0.0164973193972189,-0.0356064635371151,-0.0209310004849897,-0.0268461639809828,-0.0292026855277879,0.00434537353113147,0.914299511468455,0.996223896035142,0.802663959815964,0.499151706029795,0.313347264678178,0.19012287400483,0.0470608243180787,0.225754290621247,0.176480717018847,0.160955237313458,0.130637749681583,0.105731624786642,0.077322062198738,0.0384605810156448,0.0112469457279598,29761.6371942785
"9",-0.130042309600113,-0.126596507321822,-0.0737943648730405,0.00989683397492979,0.0196365415525463,0.047879202760637,0.0577223547257562,0.0056043854277317,0.978800940745743,-0.129343610508995,-0.0893323541373333,0.26000612546654,0.491830564155043,0.675995717449019,0.797067232841761,0.952222983108255,-0.0743553669036671,-0.0968565550915676,-0.0824006629585523,-0.0387295963251375,0.0220643220919141,-0.0501330159169573,-0.0234900521123085,0.00408229437418673,-0.0027022649226272,0.0248591714586083,-0.0463033690236969,-0.0276316693815427,-0.0111915299045696,-0.0307096219122901,-0.0323416163371228,0.00520717447645439,1.11342071340182,1.06756206894204,0.703913895522957,0.474311059999516,0.299901767567523,0.187102428741739,0.0453201022628812,0.224816558374068,0.180361637038574,0.155293938499447,0.124952023307112,0.102892079684626,0.0746860863277414,0.0405321372194878,0.0113249518611451,29757.4104207788
"10",-0.191262416450784,-0.126013046107787,-0.0980583179909426,0.00672275512262312,0.0356283653592136,0.0593222380630155,0.0552646016456766,0.00652514075515087,0.994405164555586,0.0199827839664716,0.0227920511586716,0.189457490007216,0.481942448126283,0.65815192400675,0.804407059641322,0.951756634716024,-0.0700625336319159,-0.0958871307238669,-0.0551959508032493,-0.0391921677213327,0.0228115007314494,-0.0476307985423674,-0.0205638656886013,0.00490371714714806,0.0275104166990645,0.0266754956017623,-0.0273659265746137,-0.0270647177234602,-0.0213610904754583,-0.0231515736575357,-0.0301686891871814,0.00502347352734134,0.959604510876833,0.957079469558238,0.776984128492838,0.480512367866567,0.312865985573288,0.179044587343232,0.0456093943137495,0.217785937416739,0.17543074532902,0.157124812178163,0.127424557970198,0.102900586146443,0.0762309671133812,0.0384757559139213,0.0114784963198663,29763.5445794965
