draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta.1,beta.2,beta.3,sigma
21,12053.742448284498,0.6397300181298652,0.027567250146182155,6.0,71.0,0.0,-12049.403182890766,-0.26332223145592504,0.6928842009165437,0.30697059025062967,0.32436894223008567,0.13577818722892315
22,12059.202952281566,0.9926661180059073,0.025731010478064465,6.0,127.0,0.0,-12055.849731126464,-0.24022577466751702,0.7027332084348951,0.29037802751428193,0.31412072679149006,0.1344863198637412
23,12053.363768820416,0.9872148671453462,0.027611744434291367,6.0,63.0,0.0,-12051.512580032046,-0.2560127935052351,0.7075444428409869,0.2896568721325241,0.3171066656884028,0.13805122660487074
24,12055.964989902228,0.9980974144493268,0.02320372495041992,6.0,127.0,0.0,-12050.71725813269,-0.22817224282082568,0.6936834926167897,0.29751144364372367,0.30556961329578397,0.1333354836616315
25,12057.054292173838,0.9897350655198657,0.027567250146182155,7.0,127.0,0.0,-12051.874539605777,-0.2421064433874389,0.7188956578509291,0.27537195353328453,0.3101377157362886,0.13269261744255603
26,12058.467992814425,0.9152914162802619,0.025731010478064465,7.0,127.0,0.0,-12057.40958491379,-0.24731271494103257,0.709849966322687,0.28639585564263925,0.30958090776552977,0.13335728787535187
27,12056.91040170952,0.8769097044759817,0.027611744434291367,6.0,63.0,0.0,-12051.570530662564,-0.24751227501540268,0.7027870025473874,0.29224589268891105,0.32075067921342776,0.13595030843339076
28,12058.508054305357,0.8817578613418512,0.02320372495041992,7.0,127.0,0.0,-12053.41537203771,-0.2459046181249393,0.7093262398935553,0.28491646753493777,0.31738420353484786,0.13320623239858334
29,12058.04789803383,0.9901595872406217,0.027567250146182155,7.0,127.0,0.0,-12054.600305066997,-0.23964036650153228,0.71598734953198,0.27778618823315904,0.3085171777065748,0.1352718107131943
30,12057.680047447519,0.9108625376955344,0.025731010478064465,7.0,127.0,0.0,-12056.90993104139,-0.2583268750559245,0.7111528324906323,0.28597625785116565,0.3177057014007989,0.1348558397352531
