draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta.1,beta.2,sigma
0,1591.8831372139405,0.9090561263927579,0.017715352441808534,7.0,255.0,0.0,-1591.049745449391,-0.037798644034966716,0.06820532009339351,0.9143336776440276,0.11971762108523668
1,1592.2107173954275,0.9609531735454124,0.015910232419362194,7.0,127.0,0.0,-1590.6022535198588,-0.036182396149944805,0.12252749034286711,0.8590065521694629,0.1207027634048447
2,1590.2764217426654,0.8620198543792196,0.016381336804181242,2.0,3.0,0.0,-1588.7465812477237,-0.06714994769528308,0.0633627240531763,0.9276227418666853,0.12465339702860014
3,1591.533520765465,0.996834126346386,0.015248812029013757,7.0,127.0,0.0,-1591.2093457547105,0.03549912828534857,-0.008638905066848274,0.9697285595305413,0.12085777138842763
4,1591.97376782988,0.964245493641258,0.017715352441808534,7.0,191.0,0.0,-1588.8747722411913,0.026076470276554107,0.06587786124868053,0.8952501022340382,0.12543275065965406
5,1593.1173819706921,0.8131138218177769,0.015910232419362194,2.0,7.0,0.0,-1590.535691228028,-0.03616898621710375,0.12147718500471417,0.8574350008805623,0.12070389149142444
6,1590.900656256236,0.9855030298423302,0.016381336804181242,7.0,255.0,0.0,-1587.45257230422,-0.06268133375304233,0.14532649644912235,0.8432528476469497,0.1268283886118213
7,1593.6351452944734,0.8795602896712763,0.015248812029013757,8.0,255.0,0.0,-1590.1968715003677,-0.028848677859215542,0.08843863071281843,0.8898908204703571,0.1255986221637803
8,1593.4021691108208,0.9734451887587152,0.017715352441808534,7.0,127.0,0.0,-1591.2686149884194,0.0062864543225482706,0.0753986589178426,0.8916967010217854,0.12435892224693051
9,1592.3221717739177,0.950078984219402,0.015910232419362194,6.0,67.0,0.0,-1591.9900486924612,-0.0420412646908751,0.1256939328992367,0.8542909048523596,0.12051975247805315
10,1592.1972640833712,0.999804150086491,0.016381336804181242,7.0,127.0,0.0,-1590.481960292768,-0.04007000769844277,0.14650497856459463,0.8353999903297255,0.12560216808657754
11,1592.2662685063285,0.991304086221588,0.015248812029013757,8.0,255.0,0.0,-1591.4923559937208,-0.06003601106620347,0.11720789339787445,0.8699787790325173,0.1206413183899527
12,1593.524236111022,0.9960556078536197,0.017715352441808534,8.0,255.0,0.0,-1592.9170723321793,0.005278234073742031,0.09526046353625431,0.8721317016171889,0.12341982050625627
13,1592.2748931846584,0.9712442560597357,0.015910232419362194,7.0,127.0,0.0,-1590.8220822112628,-0.06461546548080567,0.13862093336054998,0.8496461792546043,0.12222972334693193
14,1592.1669608918985,0.8601383694264912,0.016381336804181242,6.0,107.0,0.0,-1588.3351911308623,-0.0507703154479066,0.15400909412713518,0.8305241535848185,0.12538689130639066
15,1593.6671820905717,0.9503161271300692,0.015248812029013757,7.0,127.0,0.0,-1591.4940351130388,-0.039762990748649085,0.09027174912931951,0.8913998544062979,0.1228965160245422
16,1592.8491955209322,0.8603735236471833,0.017715352441808534,8.0,255.0,0.0,-1590.9222096045678,-0.011629125076421658,0.04641322756859131,0.9288837460185003,0.12118388630663134
17,1593.8669608081902,0.9933979583986817,0.015910232419362194,8.0,255.0,0.0,-1590.4330717762473,-0.010194539570414083,0.04561704520683149,0.9276679635661355,0.12373759941704848
18,1592.1448326875054,0.9122606885530602,0.016381336804181242,3.0,15.0,0.0,-1591.0814764209767,-0.04988383341042154,0.1526313676323337,0.8295677869707788,0.1253828309504908
