"","x"
"1",4.87990624347458
"2",4.89175662401015
"3",4.90003570987875
"4",4.8844408483938
"5",4.8868670352833
"6",4.90387643078508
"7",4.88934307038561
"8",4.89512726246933
"9",4.87554133118032
"10",4.88821787750441
"11",4.86526824355175
"12",4.87269646484748
"13",4.88188442810098
"14",4.88919723290053
"15",4.90267739587477
"16",4.89243498312377
"17",4.87287414703263
"18",4.86628244535187
"19",4.89029381107782
"20",4.87630840541116
"21",4.87764335829162
"22",4.89289164800835
"23",4.87626904660398
"24",4.88653145033964
"25",4.7178298136878
"26",4.84905509396125
"27",4.876153299841
"28",4.760734772242
"29",4.59324716641102
"30",4.87274325973359
"31",4.8240941453044
"32",4.87484384228256
"33",4.85764085514669
"34",4.71779650924409
"35",4.57743427409885
"36",4.63160611050877
"37",4.76735809721085
"38",4.79965647320318
"39",4.64031448126719
"40",4.67352985356613
"41",4.62597050350817
"42",4.5544190963474
"43",4.58437117278557
"44",4.58235506883852
"45",4.73980817101639
"46",4.57302437499916
"47",4.72500898471295
"48",4.58288207433934
"49",4.87868846653565
"50",4.62154304797903
"51",4.68860185831678
"52",4.68972731699514
"53",4.58257799677779
"54",4.57013175306507
"55",4.24864322318649
"56",4.60521559182943
"57",4.24511909129254
"58",4.65585998400477
"59",4.48540545349741
"60",4.23482245055221
"61",4.43631069949761
"62",4.58995735448274
"63",4.61975339835345
"64",4.25189730885906
"65",4.58298745664177
"66",4.62357792592056
"67",4.23675570992249
"68",4.54700407638208
"69",4.53211044178876
"70",4.71052285243132
"71",4.23222563190047
"72",4.57786916257109
"73",4.65748852251253
"74",4.23326096759916
"75",4.53152223236014
"76",4.23034770464435
"77",4.54981947322941
"78",4.49174477884655
"79",4.8902439943799
"80",4.36019389690634
"81",4.668551487499
"82",4.23907489051788
"83",4.49812873417519
"84",4.24190288217786
"85",4.39953473165078
"86",4.56060937465189
"87",4.58206635678931
"88",4.5726503131677
"89",4.47405788337402
"90",4.41105287056559
"91",4.26830468400696
"92",4.56990651343932
"93",4.47910464599732
"94",4.4804138376805
"95",4.41851491923466
"96",4.1408402333757
"97",4.45582621970036
"98",4.45731344738451
"99",4.48965702860637
"100",4.48533661869005
"101",5.01960071839814
"102",5.02341240814922
"103",5.03210021056778
"104",5.02616679522884
"105",5.02043941877467
"106",5.01507494237429
"107",5.0152575010185
"108",5.02000106081098
"109",5.01125731749157
"110",5.01928914959993
"111",5.00945025491623
"112",5.01084398253098
