"","alpha","beta[1]","sigma","lp__"
"1",-0.00713697085788592,0.996034962793987,0.375185027673837,12277.6264379437
"2",-0.00454118670849533,0.994842363795033,0.370978105000707,12278.7883431171
"3",-0.00317382347832042,0.994779915970259,0.372019220269516,12279.7501546025
"4",-0.00201493476282323,0.994672694099308,0.371519996242628,12278.0520869895
"5",0.00187824696724021,0.993271801051498,0.370582868346032,12278.7869699932
"6",0.00200682932414995,0.993305007544129,0.370669428605358,12278.4309683882
"7",-0.00666462458423843,0.995592947879926,0.372967687089704,12278.8027058702
"8",-0.0059003715920612,0.995385202669717,0.36994043777337,12279.3506467811
"9",-0.00231325786928177,0.994493953338102,0.367934251397435,12279.4425305154
"10",-0.00403546740415603,0.994752952747067,0.370181994012355,12279.2950113381
"11",-0.00271542462633294,0.994709119887077,0.3697455945294,12279.5021929583
"12",-0.00556682970730655,0.995371431566685,0.37496159130909,12278.6654615433
"13",0.000956615366337819,0.993566091081269,0.372529069601257,12278.9122454312
"14",2.68642204291555e-05,0.993583109718836,0.369046206854114,12279.0017077256
"15",0.00128771798609494,0.993250283071083,0.368559510005388,12278.6606806968
"16",-0.00596652849649958,0.995426206588748,0.372885255818562,12279.1866044009
"17",-0.00748909486147672,0.995977423326285,0.370973751212726,12279.0772473268
"18",0.000229185521079909,0.993892998833663,0.374967240071039,12277.7144251055
"19",0.00137927985469979,0.993514585729227,0.375745249750251,12277.1713803907
"20",-0.000758573114598416,0.993900745114194,0.374716264384306,12278.782625491
"21",-0.00480889489699245,0.9951373664912,0.372333080425252,12279.6740779833
"22",-0.00488382383941978,0.995412063417419,0.372270622216063,12278.9014250039
"23",-0.00552633742785852,0.99576856659405,0.374087223676647,12276.6062112403
"24",-0.000802785380756049,0.99404427367036,0.373682948091487,12279.2135922694
"25",-0.000688945635428401,0.994015126667612,0.3736847719064,12279.1799837836
"26",-0.00331405893567113,0.994663335895201,0.368592144148031,12279.6424376843
"27",-0.00367178525232607,0.994725247774325,0.367377120263532,12279.0917492837
"28",-0.00384641659487589,0.994635078538658,0.367358387429478,12278.166233934
"29",-0.0038213096681488,0.994665093609277,0.367374412402098,12278.4823278679
"30",0.000713409589137905,0.993748990614466,0.36638859864377,12277.4047827635
"31",-0.000583172849845684,0.993731434371385,0.366732195325787,12278.1659707246
"32",0.000121430815269851,0.99355483435115,0.371112587724756,12279.1419487429
"33",0.00179306539270202,0.993255051966628,0.369704741355955,12278.8533412039
"34",-0.00793746053507347,0.996193407441672,0.370279799612631,12278.7376354296
"35",-0.00589478915597371,0.995570724115624,0.365709083510903,12278.0043074705
"36",0.00369476974802941,0.992436948293222,0.369251942632357,12277.068445377
"37",-0.00477314101930297,0.994972676703824,0.370901189477514,12279.2222295003
"38",-0.00809389867247483,0.996406212987801,0.373768914730511,12277.2033189963
"39",-0.0100726858949861,0.997097698516554,0.373400763727126,12275.1718359228
"40",-0.00375186857756197,0.994420673371959,0.37320734991759,12276.3385354154
"41",-0.00437360959201172,0.994622742706047,0.374975242295442,12275.8844416394
"42",-0.00589700399827168,0.995722338806596,0.373025071720536,12278.4552706017
"43",-0.00399790729634012,0.994866259309888,0.371817280690622,12279.8030533636
"44",-0.000576781361673149,0.994091176720117,0.370995795094714,12279.1936330662
"45",-0.000797100553365402,0.993840797673357,0.371019094960373,12279.430465294
