"","x"
"1",4.89892309541836
"2",5.43128011107236
"3",4.42314925107708
"4",4.65288630784424
"5",4.86605684232026
"6",4.36184781433996
"7",4.55583158884859
"8",4.43934681622214
"9",4.51109885449907
"10",4.55206329566681
"11",4.48033263132774
"12",4.41907842079466
"13",4.19413364468643
"14",4.75476754598743
"15",4.33399863872065
"16",4.26024902118181
"17",4.12413887248542
"18",4.16182140657747
"19",4.26807435785324
"20",4.10922800276956
"21",4.33929809890525
"22",4.33770404251278
"23",4.16386688100606
"24",4.03688109322191
"25",4.23640797232898
"26",4.16039260425029
"27",4.18811075199285
"28",4.1032320170102
"29",4.08699370081888
"30",4.11827844802491
"31",4.17756546649225
"32",4.16926108334135
"33",4.13287478965069
"34",4.07506722635078
"35",3.90886799162339
"36",4.01663338228658
"37",3.95653586317581
"38",3.86460235675358
"39",4.04855576446017
"40",3.85022433318937
"41",4.33457396335584
"42",3.99459329191137
"43",3.97393132198792
"44",4.50048239762031
"45",4.14300918032777
"46",3.93225905258667
"47",4.09784362012493
"48",4.22935551301643
"49",3.89177817706361
"50",4.0990535354999
"51",3.97771747552802
"52",3.87501362467918
"53",4.03294492402834
"54",3.87352093596194
"55",4.37358054231727
"56",4.04699308612026
"57",3.96196573513809
"58",3.86625811776971
"59",3.83198710142839
"60",3.84446641977166
"61",3.91309897234135
"62",3.87804809322408
"63",3.89222662776913
"64",4.0115604677006
"65",3.9213948628023
"66",3.88022574827197
"67",3.76201361372622
"68",3.94599051107701
"69",3.79419450664856
"70",3.83926297764102
"71",4.04911671528676
"72",3.73841239872846
"73",3.80567415874803
"74",3.87232819221869
"75",3.76870539122213
"76",3.90783323815904
"77",3.79197904984011
"78",3.94651247398982
"79",4.1644141771267
"80",3.92717025396471
"81",3.79673308923732
"82",3.82251415789006
"83",3.86921672906455
"84",3.93437149023203
"85",3.75353525289347
"86",3.99969292438626
"87",3.80168057772135
"88",3.73178804969952
"89",3.8605133739923
"90",3.8265060083327
"91",3.71935503432387
"92",3.82984062804841
"93",3.84738447956539
"94",3.69204627474828
"95",3.74772411121701
"96",3.60725696030407
"97",3.7798806160291
"98",3.73694791503015
"99",3.75191846359936
"100",3.74612130883474
"101",3.75985509054413
"102",3.85823453774388
"103",3.68757216993451
"104",3.74008740926154
"105",3.86411708462283
"106",3.6711998320549
"107",3.69610165684148
"108",3.72697429285382
"109",3.77595466446135
"110",3.95236146288977
"111",3.81778809877572
"112",3.73422365252076
"113",3.83580402399012
"114",3.89886133072488
"115",3.80055015512832
"116",3.98218838808948
"117",3.90795315580558
"118",3.7783908861537
"119",3.81946426165976
"120",3.85967242017983
"121",3.8270731244396
"122",3.84479429606997
"123",3.74834220054751
"124",3.61123668137775
"125",3.75690860863029
"126",3.73803598188959
"127",3.71341603763352
"128",3.85074817412351
"129",3.66710602128213
"130",3.72328130393138
"131",3.75646957492054
"132",3.89185923550973
"133",3.6867282500363
"134",3.55460034321447
"135",3.8004773467247
"136",3.8141893897531
"137",3.71632888843841
"138",3.60125201192675
"139",3.77443033111077
"140",3.45150582080513
"141",3.79583774184674
"142",3.70126569304798
"143",3.64183114883623
"144",3.61509560691928
"145",3.62606923431715
"146",3.79317892617973
"147",3.67442064890673
"148",3.70358801436452
"149",3.8073421612112
"150",3.64695486123167
"151",3.98402495760922
"152",3.56835883623252
"153",3.42134041667907
"154",3.6606097038212
"155",3.79486928595844
"156",3.9106879742775
"157",3.63306897991294
"158",3.51523349916753
"159",3.65510009764807
"160",3.7657319737103
"161",3.67390956199234
"162",3.67050458928533
"163",3.44768703894639
"164",3.71022608608423
"165",3.6656294152946
"166",3.67494438537195
"167",3.59565175924708
"168",3.63003168716668
"169",3.70935173633363
"170",3.67971497568731
"171",3.46988135753166
"172",3.64666921882472
"173",3.63945389272286
"174",3.70559287074514
"175",3.78912958898119
"176",3.70729841860682
"177",3.60542574512405
"178",3.57414464029338
"179",3.62754663842924
"180",3.59303143634452
"181",3.48996284377572
"182",3.52633359252811
"183",3.76594853843121
"184",3.82098050912126
"185",3.46674587168934
"186",3.62681644268143
"187",3.50218492997302
"188",3.62396285402087
"189",3.62391478473113
"190",3.71413091228752
"191",3.57007396157368
"192",3.75388253323295
"193",3.66474687992224
"194",3.76263265191367
"195",3.43391749086051
"196",3.76909121219905
"197",3.65341310574466
"198",3.90465902296297
"199",3.5033004585673
"200",3.61389199330857
"201",3.57818197715793
"202",3.64025524457387
"203",3.40902948655081
"204",3.70095208542707
"205",3.37756045045139
"206",3.59814281231308
"207",3.57981718748016
"208",3.68451100716341
"209",3.38390569333124
"210",3.61520596848271
"211",3.24994079985378
"212",3.43645479092026
"213",3.48969516601145
"214",3.75233562092671
"215",3.31022863154744
"216",3.80379853554587
"217",3.4281927030488
"218",3.46805820706877
"219",3.77540423399823
"220",3.67857206592783
"221",3.77241765770291
"222",3.55419389708928
"223",3.56623119246901
"224",3.6674989145355
"225",3.28466818798069
"226",3.42186485049994
"227",3.7692058608721
"228",3.69129258820852
"229",3.65622600426007
"230",3.67833617168792
"231",4.13239967091744
"232",3.55362758542735
"233",3.43277620639043
"234",3.45438657828403
"235",3.57684000181326
"236",3.59928879508375
"237",3.42231651831814
"238",3.57750039644445
"239",3.62590880581592
"240",3.53222385343876
"241",3.54067338116574
"242",3.44654041521653
"243",3.51163429344444
"244",3.39338793529656
"245",3.53392772338322
"246",3.36903380229167
"247",3.39602930434119
"248",3.44985747120439
"249",3.47673935917399
"250",3.63130145063428
"251",3.40972525674826
"252",3.39602418026102
"253",3.608184132178
"254",3.35762014240666
"255",3.46563898321882
"256",3.57411557287119
"257",3.74491765880128
"258",3.73881755649342
"259",3.45754462830839
"260",3.57094922380722
"261",3.48203672896976
"262",3.43805211675461
"263",3.74272012776355
"264",3.44998589263687
"265",3.43627012285003
"266",3.39663549782263
"267",3.49335376927403
"268",3.24759899481106
"269",3.37431042647074
"270",3.34513422721661
"271",3.47044938679758
"272",3.71316677444391
"273",3.73900797182919
"274",3.28501064526052
"275",3.35362572258445
"276",3.48099388608549
"277",3.65650664434275
"278",3.28104829194407
"279",3.53611224478835
"280",3.63902608983084
"281",3.49831673632576
"282",3.39465546534408
"283",3.40734064579583
"284",3.12974412673238
"285",3.25914415854194
"286",3.34801381527425
"287",3.27599522333853
"288",3.41264972256484
"289",3.41413230359178
"290",3.33323408291517
"291",3.54082061905608
"292",3.30747805602147
"293",3.45568055948884
"294",3.60031104693558
"295",3.27246833447612
"296",3.2400591963174
"297",3.35130417391139
"298",3.25577332267487
"299",3.27734846349807
"300",3.32179779804093
"301",3.45915285139249
"302",3.29556031377866
"303",3.37702786802425
"304",3.34057726980108
"305",3.30798756145143
"306",3.19717437142113
"307",3.60359053673501
"308",3.50340141950384
"309",3.45267629850997
"310",3.42067014028541
"311",3.56599832031735
"312",3.40165819252582
