"","beta.1.1","beta.2.1","beta.3.1","beta.4.1","beta.5.1","beta.6.1","beta.7.1","beta.8.1","beta.1.2","beta.2.2","beta.3.2","beta.4.2","beta.5.2","beta.6.2","beta.7.2","beta.8.2","beta.1.3","beta.2.3","beta.3.3","beta.4.3","beta.5.3","beta.6.3","beta.7.3","beta.8.3","beta.1.4","beta.2.4","beta.3.4","beta.4.4","beta.5.4","beta.6.4","beta.7.4","beta.8.4","beta.1.5","beta.2.5","beta.3.5","beta.4.5","beta.5.5","beta.6.5","beta.7.5","beta.8.5","beta.1.6","beta.2.6","beta.3.6","beta.4.6","beta.5.6","beta.6.6","beta.7.6","beta.8.6","beta.1.7","beta.2.7","beta.3.7","beta.4.7","beta.5.7","beta.6.7","beta.7.7","beta.8.7","sigma.1","sigma.2","sigma.3","sigma.4","sigma.5","sigma.6","sigma.7","sigma.8","lp__"
"1",-0.13040761583665,-0.0843452956650637,-0.19519678892782,-0.0101730780064355,0.0457871914255992,0.0240887754492996,0.0602496375880543,0.0161774341973273,0.244694362853333,0.115231641193053,0.0551478782664564,0.226016214239603,0.478350262524308,0.693860906090414,0.803462353896974,0.950122840721937,0.759127858553714,0.876543989019277,0.958954086004421,0.755352954473496,0.486373413409541,0.292060631177801,0.183739267131177,0.046877597802937,-0.0569364525438477,-0.0280759046776223,-0.0477487120306282,-0.0622255700515467,-0.0354226404106007,-0.0310489374142891,-0.0113302347987953,-0.00198399510272022,-0.145558192829466,-0.141629835695793,0.0261462470120872,0.0219409297479365,-0.00566631032522471,0.0188922998934249,-0.0221133455881259,-0.0150028081319666,-0.0625067784357727,-0.1057957734665,-0.0490150953318592,-0.0397336988100701,0.0223774303439858,-0.0371187544013151,-0.0164816624650643,0.00224465576333959,0.0225276908010248,0.0286205309133792,-0.0211943824584708,-0.0340641319824038,-0.0167291902512686,-0.0222592178131649,-0.025564468379086,0.00353411307553847,0.219424832784039,0.169079777397052,0.152614742193255,0.124949388918609,0.105626556283173,0.0752068699537634,0.0394078051901445,0.0113815287690006,29964.3417104064
"2",-0.134081895815255,-0.103434834665854,-0.151201164263533,0.0141429496912273,0.00563462595598304,0.0168571272344039,0.0636282418739008,0.0178981418762297,-0.677290632337459,0.0419150071425349,0.0711659801214864,0.223697270751371,0.488028074302472,0.685290793105259,0.802900029232242,0.950589290265187,1.66616912679203,0.950583098621016,0.932720074094152,0.749063678670458,0.488564708345839,0.301769812071034,0.182577295354577,0.0463253910060013,-0.0322620269579829,-0.0357509834675302,-0.0644674694036863,-0.0542325512733074,-0.0403460932071648,-0.0303669594997416,-0.0123372387424107,-0.00147501028502495,-0.0408809328875416,-0.0969986663481035,0.040707609184099,0.00253431175613907,-0.0126739215395144,0.0235636686738435,-0.0191139934918198,-0.0176576955755022,-0.0593034674165095,-0.0846588762141234,-0.0756544495672747,-0.0321138790644698,0.0397062006883881,-0.0401686828328303,-0.0180875780042674,0.0023377651100104,0.0173484123054572,0.0298227873311104,-0.0135940205899454,-0.0302641387354512,-0.00411224294165419,-0.0220619329500126,-0.0258311365013111,0.0032081330897504,0.218875917871364,0.172877496202086,0.157400029330936,0.130910208043115,0.101190167122766,0.0762840177941218,0.0387513722396169,0.0113576064543994,29964.2287239333
"3",-0.244730982419447,-0.162201199973377,-0.164049360389976,-0.00518944844124058,0.0480932144357746,0.0395236058433813,0.0661780576255799,0.0138171885135543,-0.190650909323659,0.10158396634397,0.0433236006807517,0.278170045611276,0.492972348577109,0.686486815248832,0.797988308688371,0.951490756064049,1.21257400210491,0.903225837305375,0.966283907638188,0.700280302833669,0.471956000686499,0.29589497826019,0.185350271380561,0.0456502222183444,-0.0618621911231676,-0.0487198483205912,-0.0534010920598577,-0.0620571464913219,-0.0319947984764235,-0.0254565002646649,-0.00847369449178982,-0.00265326685485908,-0.028149966809449,-0.0113072881206099,0.0312182705771012,0.00258477876844916,-0.00558240223984342,-0.0151485990112853,-0.0140267404952987,-0.0122180878279679,-0.0405112572176564,-0.101825225211266,-0.0552605138805211,-0.0396116188767555,0.0153402936086234,-0.0321872625364465,-0.0189594376329406,0.00348743304963623,0.0302562777596822,0.025028620653105,-0.0207483511669656,-0.0236236990112573,-0.0187812198656021,-0.0163399469646342,-0.0256183898674294,0.00591520405776531,0.217815063355766,0.172348181186943,0.153884367701318,0.127266385778805,0.102964271828619,0.0774072994827773,0.037991222301847,0.0114008946706549,29958.2936751371
"4",-0.0798279345570655,-0.101054707589187,-0.192724748106156,-0.00574388465811001,0.0142210049366851,0.0529286962126349,0.0567844824590854,0.0156699604949298,0.740219925957468,0.0194661611512729,-0.0482009891242216,0.259413629555896,0.501589604363277,0.677614822305169,0.806510148265094,0.950526088316611,0.249077377618512,0.973802345216842,1.062562027725,0.719779276660309,0.471875121626863,0.301893389485671,0.180357062311845,0.046687677779595,-0.0560007706306955,-0.0576998919955155,-0.0597203526448266,-0.0555329819548677,-0.037438392832732,-0.031389530678881,-0.0120313170370762,-0.00208748440635212,-0.147802322982273,-0.072782715405334,0.0340662093729873,-0.00076017733266467,0.00350174869414719,-0.00900515081217933,-0.00350375454003143,-0.0153928025266514,-0.0742067653265172,-0.0943184841519817,-0.0294570724920317,-0.035190340736503,0.0246209276245623,-0.0438889739558454,-0.0222824801897374,0.00299344987247566,0.00509290813214289,0.0397940049607496,-0.00494970470272857,-0.0308369762051267,-0.0117447767463278,-0.0282205639770702,-0.0312672938575281,0.0043704412238167,0.219099806014872,0.171591456740564,0.156697875008027,0.127862059127161,0.0992579790333614,0.072461921185111,0.0396320995170233,0.0113857353860444,29965.3117918448
"5",-0.0678462635458734,-0.0963915743968572,-0.173807553696129,-0.000869374122639335,0.0434235543705446,0.0477967384010122,0.0500277839375418,0.0145280378478307,0.590076780200832,-0.0482515041524699,0.135184024689768,0.226765502248703,0.484455674932836,0.684289493474931,0.806854611042375,0.950557055153495,0.390961384345114,1.04347488473005,0.880381390807327,0.755778945237394,0.481198449911345,0.297196447140943,0.181051901049159,0.0470435652155769,-0.0453798098296424,-0.0526764415788296,-0.0734231990128962,-0.0586449630660068,-0.0407470301914979,-0.0188735025014899,-0.0123477501325415,-0.00314892320805974,-0.0937174487607784,-0.120472388291801,-0.000871802539073199,-0.0503152811145802,-0.0121509320100864,-0.00941080292422887,-0.00131442145768077,-0.0142719419813961,-0.0923596583259747,-0.0885523026236124,-0.0601966227946275,-0.0323493051914503,0.029560819067059,-0.046452411351944,-0.0175974270792528,0.00302353259916534,-0.00273796964045035,0.0343623588625963,-0.00796749651970232,-0.019909036204872,-0.00636611929973536,-0.0290709517564536,-0.0289274747739604,0.00425530686355946,0.215767413140268,0.16816606834231,0.155755150337449,0.125613648279547,0.100269814734246,0.0740869519477862,0.0377292174026284,0.0113733229503388,29966.3147804772
"6",-0.120914803727116,-0.0793206730044799,-0.190013388336882,-0.0338925529518323,0.0429649712347374,0.049633158353414,0.0386733361690097,0.0191238675596081,0.772031688737156,0.0397103049651852,0.0571846047514371,0.268686830274552,0.486849935566183,0.688416416591007,0.818997692440125,0.948000346171812,0.230137268484955,0.944579682900355,0.958544214691268,0.714794251264972,0.480777978047009,0.291266828350161,0.169611634445683,0.0483034450935845,-0.0469901758262154,-0.0436676879704934,-0.064558669669733,-0.0547360265664391,-0.0472716303309126,-0.0222128247701362,-0.0143264127312325,-0.00296783991180782,-0.121698184534633,-0.0873247134072734,0.013252283789787,0.0296981433211708,-0.0105267561113481,0.00227343338568266,0.0111627620796529,-0.0145509780627344,-0.099977209756774,-0.104434393518471,-0.0563879248587823,-0.0334412775491746,0.0303905380477355,-0.051051473025998,-0.014761087708944,0.0018823401276911,-0.00831150877592932,0.0314529450650438,-0.0118925212459756,-0.0299971564447345,-0.00930016954670113,-0.0231801507438543,-0.0220910114296634,0.00359128248097023,0.225010965639507,0.175447089094547,0.150156309973435,0.128686544798611,0.102424274830535,0.0747292490709317,0.0383964272562283,0.0116173260650518,29961.8570483591
"7",-0.0541624388680827,-0.0667540900824126,-0.106941656710934,-0.00799484668464097,0.0167045116176016,0.0533128553646379,0.0560935258604461,0.0129352019097638,1.47876424705204,0.196540461086839,-0.0153629367560434,0.244806757986829,0.494837224489276,0.690763783980126,0.804285138588303,0.952658752515682,-0.49704967560011,0.78463176484893,1.01987602212577,0.731223356732928,0.482392469055659,0.285485276934367,0.180888337061912,0.0450494739777393,-0.0579564960171192,-0.0337926098984381,-0.0611160569671756,-0.0538818779639322,-0.048019715971338,-0.019347573486927,-0.0118382532955011,-0.00249355209230279,-0.132525387865807,-0.0784139004116132,-0.0521948406239873,0.015895441643801,-0.0127642083624389,0.0191355668375182,0.00535968014562973,-0.0136676129541141,-0.0926705275209403,-0.103811084164143,-0.0657051199288769,-0.0303952673134733,0.0233395137669561,-0.0478979576312324,-0.0186646005488782,0.00299410307125565,0.0190195771493294,0.00153290608275614,-0.0280548125778868,-0.0169457634424003,-0.011891592794729,-0.0367125060360219,-0.0285295553192557,0.00454671154905466,0.220161873009276,0.173306018603235,0.152210202895598,0.123212389288898,0.100694338582223,0.0775405125050638,0.0396700961866954,0.0115622268557569,29959.6057543453
"8",-0.172289155478841,-0.072783568825404,-0.190979792566266,-0.0452049457294792,-0.0064281069164044,0.0369427320238385,0.0685648590987857,0.0152832713387349,1.00284331232866,-0.0575795332103598,-0.0198333465638578,0.264694731012847,0.504198358705855,0.690580253103724,0.794023301987712,0.950012413248297,0.00391640072491469,1.04325129003966,1.03608181604121,0.723394122419433,0.473343091318408,0.292433532982497,0.189105115599152,0.0470920397017515,-0.0499340147518704,-0.0361964220141881,-0.071865052021169,-0.0684459621495439,-0.0460879908258355,-0.0238590996222123,-0.00824019331604702,-0.00250930110620511,-0.0395460276948428,-0.115583394482589,0.0500878055349506,0.0369628882504713,0.0251917937614971,0.00428414613282052,-0.0067826729600885,-0.0143433019789381,-0.0708807721166198,-0.100623185310958,-0.0441785259259182,-0.0287537143555491,0.0314854854232357,-0.0461795103339172,-0.0231692869500948,0.0027456148871781,-0.00431953343246994,0.0419558225176207,-0.0144088076198813,-0.0206149612222992,-0.0112050337319179,-0.0229884185655191,-0.0323337509002016,0.00510851969432793,0.2256386994245,0.174766857080522,0.153391595318588,0.125077527898406,0.099729418063996,0.0769539730969474,0.0394715563863449,0.0114264179672349,29969.7015211414
"9",-0.153785333189486,-0.127302534074933,-0.102650861493989,-0.0388858661857251,-0.00296173592685979,0.0304783684808609,0.0470078758773997,0.0148033717136415,0.228559916128227,0.00160299338846462,0.0578741646438436,0.214493226572738,0.502182832913814,0.693257332352472,0.806960969676466,0.950779590519822,0.778588678302332,0.99447375886427,0.945061407229511,0.764997157311285,0.477914806086914,0.291896480310418,0.180045550258683,0.0461428847226541,-0.0585286775095941,-0.0422053855048595,-0.0677027227883278,-0.059863767619652,-0.0515330792871559,-0.0273489061360402,-0.0140047859616301,-0.00246575887072798,-0.123510730224322,-0.0751152079887363,-0.0512688432829682,0.0750268100380552,-0.000505981757040025,0.0121930454749513,0.0129800549671609,-0.012180804061341,-0.0641940476570855,-0.0938098866785161,-0.0657228631822947,-0.0232094344418677,0.03038881415047,-0.0469890892679516,-0.0181314160067464,0.00276643288172522,0.0219467797063171,0.0377573301314847,-0.0227350126045809,-0.0159729171457781,-0.00652157050317415,-0.0269528485831815,-0.0245906184577964,0.00515901152798394,0.218619519521872,0.176849686343472,0.154689895340095,0.126610220713138,0.10297366359525,0.0757064979820687,0.0393696576569674,0.0117385829715099,29968.1809440214
"10",-0.0871130790343357,-0.134683376854963,-0.21518987858352,-0.039615422648371,-3.18288029776779e-06,0.0388935351078181,0.0586122569847986,0.0134175041003813,0.286125118635988,0.045067000515962,-0.0191538236635377,0.24994437843058,0.493077639156371,0.69535132176876,0.799143912072387,0.951131005827921,0.694832625573748,0.953612036132828,1.03230028998621,0.735136104402423,0.483400015019208,0.286393270532595,0.188003524567304,0.0464917299764145,-0.0406416654110374,-0.0251687322706408,-0.0546165099448019,-0.0475965981335,-0.0485460127038424,-0.0265182636490942,-0.0111939044523763,-0.00211585020651317,-0.0790072304577665,-0.0552746163230436,0.082108436637401,0.0132537844264675,0.0130219598495069,0.00615979689693415,-0.0110888449315265,-0.0142905007443463,-0.0980291761754201,-0.110769221395122,-0.0329952796082748,-0.0274194539707765,0.0333216964051763,-0.0482034668001089,-0.0197310756925131,0.00403886327931962,0.0349336174680709,0.0266419609562235,-0.00520659359832204,-0.0165282778070056,-0.00724962751251135,-0.0249196960138957,-0.0277615593420762,0.00444324901906589,0.221115764432582,0.1802525227547,0.154988527791467,0.126157142979134,0.100372342908477,0.0728382348103055,0.0386414327507022,0.0116022933866622,29964.006256504
