"","beta.1.1","beta.2.1","beta.3.1","beta.4.1","beta.5.1","beta.6.1","beta.7.1","beta.8.1","beta.1.2","beta.2.2","beta.3.2","beta.4.2","beta.5.2","beta.6.2","beta.7.2","beta.8.2","beta.1.3","beta.2.3","beta.3.3","beta.4.3","beta.5.3","beta.6.3","beta.7.3","beta.8.3","beta.1.4","beta.2.4","beta.3.4","beta.4.4","beta.5.4","beta.6.4","beta.7.4","beta.8.4","beta.1.5","beta.2.5","beta.3.5","beta.4.5","beta.5.5","beta.6.5","beta.7.5","beta.8.5","beta.1.6","beta.2.6","beta.3.6","beta.4.6","beta.5.6","beta.6.6","beta.7.6","beta.8.6","chi.1","chi.2","chi.3","chi.4","chi.5","chi.6","chi.7","sigma.1","sigma.2","sigma.3","sigma.4","sigma.5","sigma.6","sigma.7","sigma.8","lp__"
"1",-0.179047418205497,-0.126535831322438,-0.150944652728746,-0.042084435134311,0.0180895424546188,7.01144504575948e-05,0.0700810854938548,0.0149873942451625,1.00148729704698,-0.0645960800331288,0.131025089837318,0.329281956735561,0.474804970276967,0.698254305768361,0.80140725898426,0.951386120251786,-0.0501956660336243,-0.0444774871561852,-0.0546832652808769,-0.0554582702432497,-0.0582241103157661,-0.0249340822217153,-0.0114115677086501,-0.00293018809112298,0.00268462208249018,-0.0797773029581614,-0.00138885316860464,0.0290844528907456,0.000134799198185017,0.0401038696121527,-0.0108902497200014,-0.0127252590539767,-0.0896776410315701,-0.0947023850495905,-0.069931083061017,-0.0455080054430787,0.0246494247355461,-0.0339725672865232,-0.0216093006386886,0.00263356666157368,0.0290962980284867,0.0146209611400545,-0.0204475775391292,-0.0147547098137457,-0.00917233699576693,-0.0191913204133237,-0.0288532920754332,0.00337191686810168,1.06448480291942,0.876017542842706,0.654960009810212,0.501440924485556,0.288812891762224,0.18161819118885,0.0458818728506377,0.215959937921077,0.170289171594163,0.155389418575062,0.12761495449542,0.100629300098007,0.0737639799565783,0.0384302277691498,0.0116432339622272,29947.0185096779
"2",-0.0809162513758182,-0.136788397650567,-0.171708808365707,-0.0202693599860052,0.0384786211702413,0.0686013726037945,0.0684270465750527,0.0147773543552432,0.99028865454461,-0.0139675105068658,0.100625662332603,0.240706579013073,0.474663030289523,0.67570408036661,0.796631936929385,0.950725185905772,-0.0447972572265739,-0.0219317069092051,-0.0595841901478413,-0.0648413968540914,-0.0429419796757112,-0.0232998062407919,-0.00958528879890178,-0.00232553073601539,-0.133202260410155,-0.0225942293840822,0.007090829973326,0.0277291556931174,0.00729077787037587,-0.0205076302166265,-0.0141587338383912,-0.0124225904782017,-0.0976134545213811,-0.0794266380192214,-0.0645826478684952,-0.0306885724927115,0.0296406642182029,-0.0489309312897806,-0.0204929552321116,0.00311243993951073,0.00636205140950467,0.0266191697495098,-0.00883299629957074,-0.019463364365906,-0.013542981878691,-0.0307232768964248,-0.0265367345975885,0.00417029083908446,1.00305705992181,0.912032133614207,0.738390862602969,0.49090811293123,0.301798369892179,0.186741909433024,0.0463547748581612,0.219481725159785,0.175058954683914,0.151800365820262,0.128119992350626,0.10299280010054,0.0755807080695808,0.0387659128018452,0.011477405318536,29966.2284619465
"3",-0.18601846072093,-0.0850177534942699,-0.0777792542098846,-0.0144725314222048,0.0306111870284313,0.0449823331387877,0.0448513033900995,0.0185173528010649,1.00340360887229,-0.0742483864397102,-0.0156747628915317,0.203690406130192,0.502283459648839,0.683648046888891,0.807697488278866,0.950044385828712,-0.0666276178218785,-0.0386727111284397,-0.0559438003040832,-0.0639059844793049,-0.0480911669298724,-0.015737194825995,-0.0101723219775438,-0.0013477728408312,0.0305746366569264,-0.0869731609357385,-0.0709048880558263,0.0308568968101547,-0.0303422950890895,0.0130126813693683,0.0077110818013259,-0.0153872741342453,-0.0755262360757709,-0.110062567329479,-0.0672253473254114,-0.0309227200826776,0.0238311371072315,-0.0570035045225212,-0.0146414061860494,0.00325762345481158,0.00159676023249046,0.0230755356790337,-0.0349913230119014,-0.0294879677682791,-0.00993562337456421,-0.0311656783380191,-0.0256143490509911,0.00358093331310515,1.0637307793353,1.01139518613347,0.776932142417678,0.471866644615608,0.296315496366167,0.17977982559602,0.0461311053009998,0.221749592217252,0.170070576226402,0.151716435928313,0.128377525726344,0.102753014959732,0.0758824407733972,0.039090383236808,0.0111764967496919,29955.6870307796
"4",-0.169340053758937,-0.0884542149955347,-0.128231415366456,0.00518867558430202,-0.00236920672524698,0.0606799665596203,0.0432776773469624,0.014622004621963,1.0097020228504,-0.0126164863175855,0.00162602202373769,0.214718608461524,0.538599407767299,0.669566687270004,0.807376163780668,0.952073182810344,-0.0399741395291526,-0.0583174109848268,-0.0556261080153232,-0.0640376419532076,-0.0459342386730297,-0.0178370470835222,-0.0130249287495295,-0.00262107532691647,-0.0799129178586577,-0.116124582734235,-0.0230090737295581,0.0116046137494038,0.00786849138315185,-0.00671690299671215,0.0151013418199299,-0.0131558645484799,-0.0924373375934195,-0.0726971836109646,-0.040765539878197,-0.038304921284513,0.0295121733407526,-0.0488471656575651,-0.0192815298949647,0.00318588100822487,0.0124802042008382,0.0441819423177267,-0.0148343839149217,-0.0302226222949425,-0.00331215046264951,-0.0274449165671066,-0.0266050770250891,0.00474634633265771,1.00432812953218,1.00108875974373,0.762801886702633,0.438867878491966,0.306756988631355,0.180622398295861,0.0451253435883512,0.222739783718091,0.176255804733822,0.153158688419399,0.126572876791489,0.102016657862554,0.0762007450471825,0.0386118232136572,0.011442846601982,29963.0521434745
"5",-0.111195296026249,-0.0936926505739761,-0.109222283924733,-0.028199756109517,-0.00226122672435116,0.0358216172206605,0.0510281979334242,0.0178215091403765,0.995859595247267,0.0998325139079149,0.0656435309132368,0.285296009715345,0.517107217546819,0.694094844945897,0.808079420170213,0.949808611022842,-0.0405178282371345,-0.032446029542629,-0.0588980673793734,-0.0554980614373077,-0.0450354706158823,-0.0251123572009182,-0.0115034652335011,-0.00176822109324117,-0.116868759298176,-0.0974165626234078,-0.0347662427379645,0.000677421833564711,0.00604625905472572,0.0102845794020743,0.00466107318400172,-0.0171735242364458,-0.0881548889502898,-0.0940949312924381,-0.051565183736808,-0.0317512629074157,0.0226784839990416,-0.0474261357189619,-0.0189805151377094,0.00106669007479856,0.00229112252183013,0.0270916469096628,0.000494587704232404,-0.0255702213969165,-0.00659230964182474,-0.0312501570728614,-0.0285268061697028,0.00410585547684716,0.889761117220104,0.929279270487699,0.698206751101247,0.462523388218702,0.289595171954948,0.17830456801513,0.0469697414468652,0.218239467649879,0.175378293904928,0.154901139651381,0.127275085037294,0.100571635583666,0.0752052084036595,0.0390609093649006,0.0115361230442751,29963.1668420296
"6",-0.129971943146333,-0.0699491782904936,-0.216011894241324,-0.016229020681409,0.0157865215976542,0.0385180185326223,0.0575206658139492,0.0203460161429457,0.994686637378187,0.0573117882581445,0.0432979511866898,0.240494995321658,0.509033160551663,0.69590576678707,0.805112571363114,0.949807866325991,-0.0586803246988723,-0.0412530413631783,-0.0621666351516939,-0.0548612601737157,-0.0491868572456285,-0.0179158201672771,-0.0137685034169231,-0.00170203403720019,-0.0567213768258133,-0.103521180657409,0.120038707716067,0.0192021699219876,0.0136241175591894,0.00897030298501675,0.00562122784428721,-0.0186379124586723,-0.0808028297942,-0.0996815338331108,-0.0458387360592281,-0.0347752454918626,0.022018215759246,-0.0497732276569581,-0.017327091684434,0.00271805446058913,0.00914981612905113,0.0281806358384491,-0.0101705609958681,-0.0331569849565174,-0.00999555304444065,-0.0311798320435749,-0.0301961989819186,0.00328987283224088,0.926064718752222,0.968217624414542,0.740376391634003,0.464033126816487,0.285063759177862,0.179755833926784,0.0464705029526053,0.221938217995499,0.176129981229145,0.155532900550821,0.123893264785273,0.0989780095487159,0.0759531817616887,0.0401945130927542,0.0112179346164877,29960.9443413183
"7",-0.123136214540253,-0.0931487046419947,-0.206503251910269,-0.0427491403421802,0.0175717454298675,0.0248519159584114,0.0548238134956577,0.0157434007049467,0.987007201521063,-0.12739164996369,-0.0440655959748116,0.277255650126707,0.476691358236689,0.69358533977739,0.808494453514405,0.951411240626616,-0.0544021211923346,-0.036115762497003,-0.0593578299949562,-0.0667349094441028,-0.037952662151151,-0.0260030873736216,-0.0155401409582727,-0.00269998602590932,-0.0224611133727492,-0.026140412166275,0.0625161146783186,0.071816601373823,-0.0125724411335038,0.0108099190938737,0.0117599088393788,-0.0138868156748901,-0.0707104710874306,-0.102383904049369,-0.0272845439945081,-0.0286893875500282,0.0297961888430512,-0.0421254277630959,-0.0174197546898528,0.00349588373649078,0.0115854846130836,0.0380599008740518,-0.00146645611371544,-0.0217740998582865,-3.80497854224422e-05,-0.023711098170201,-0.0264506641778332,0.00437185128241749,1.10737616472751,1.05674206503107,0.705618852345407,0.497219221288332,0.291593503564612,0.176297783194577,0.0455899442513736,0.218675892771156,0.177965991295578,0.154983454198552,0.125409168726504,0.100450702857011,0.0736497370119252,0.0390360936353435,0.0112960777798799,29957.2322749998
"8",-0.173848052014812,-0.0495418954139101,-0.157237706143888,-0.0142784757686937,0.0115568210225287,0.0379753363467165,0.0488096420952197,0.0174724960593615,1.00144609048906,0.145776682307049,-0.0303518107799206,0.255538201625447,0.493172806494351,0.692964347768352,0.813441031630726,0.950308927219099,-0.0482825475973509,-0.0236197663295935,-0.0631549107083922,-0.0588351117851492,-0.0455607720953111,-0.0210862069880198,-0.0126425269608783,-0.00209836291857837,-0.0482513446347384,-0.118329003686249,0.0317930286575515,0.00272838511715141,0.00650765850058355,-0.00426379103299085,0.00267204272385244,-0.0157062385275903,-0.0690460273367351,-0.108869851756142,-0.0479944934335219,-0.0256774859618229,0.0251320833458382,-0.0439505350065518,-0.0201427697047116,0.00310059821856558,0.0383563799782563,0.0131051685980535,-0.0162147369810367,-0.0142338344691268,-0.0081325188153004,-0.0245447150227731,-0.0276644842130944,0.00461114188091914,0.833684510811537,1.03446357320381,0.723505189673974,0.482083628629418,0.289858060978653,0.174048788789508,0.0460775732124583,0.218026358401336,0.174790028045656,0.154565679881609,0.126695941767793,0.102303532985361,0.0757081053257731,0.0382450068091722,0.0111963528383319,29970.4489795198
"9",-0.216547035410597,-0.173332576094448,-0.179375532040405,-0.00674608758817856,0.0353938226639036,0.0349144700841394,0.0556294652452015,0.0175438999675996,1.01215744745174,-0.0366533802461289,0.0537851204473128,0.208258368010831,0.505555459834976,0.679852705019964,0.800683396962906,0.950752198022902,-0.0571836055291155,-0.0410804525634414,-0.057352450383635,-0.0615277312949135,-0.0396342868891604,-0.0207039244672325,-0.00933616703028737,-0.00258418851231159,-0.0013543300790121,-0.0442550567414141,0.0296723345662963,0.0115367335466531,-0.0024006218835678,-0.00414293978444213,-0.00323326667941855,-0.0186026908196853,-0.0609697615786366,-0.0895051278798996,-0.0565059820977854,-0.0284991917628896,0.0169825625306029,-0.0415475462015035,-0.0176910638027038,0.00336478273536353,0.0266278560425458,0.0296052141124044,-0.0170299898268179,-0.0263033352998807,-0.0182546627482599,-0.020221771783151,-0.0280505827145755,0.00409256515925376,1.04486872672168,0.959664947717674,0.770008702636558,0.463384257514525,0.303630051599358,0.184914091282525,0.0464365365076126,0.225666703681188,0.17605077515658,0.153324289435497,0.130040940099455,0.100212151170161,0.0726964903302625,0.0390909993693093,0.0116326196222481,29965.7539898014
"10",-0.116976252424092,-0.115958491949127,-0.165842468255901,0.0263913998093329,0.021512014627716,0.0672603605198319,0.0625283423570626,0.0172205369180384,0.985858546311338,-0.015979347014285,0.0421621457481899,0.233322158434762,0.476375338173373,0.678148540209735,0.804612562455985,0.949402480019074,-0.0347088276117256,-0.0415740830032461,-0.0546671058635151,-0.0678778760565843,-0.0410815023640849,-0.0226008392336677,-0.0100587874119726,-0.00284913022898269,-0.0200273045026735,-0.136264406447172,-0.0409135984865908,-0.0226680359356087,0.00282992221799228,-0.0167505128951901,-0.00862175055635494,-0.0159250336315142,-0.103155499164229,-0.074901184064995,-0.0462026735709184,-0.0467030684557752,0.0220816240597423,-0.0528246595854346,-0.0202133637566689,0.00344700709855521,-0.00107121397084966,0.0494562563630782,-0.0206804836161696,-0.0299806064681473,-0.0136633527918308,-0.0251046243672187,-0.0279966824379234,0.00463571909597176,1.01737588349583,0.975060056203908,0.740470614935275,0.496780727283108,0.298057122551459,0.180093626940986,0.0474841740757123,0.219419792439979,0.174891760703046,0.151640371252382,0.128709350971339,0.101048407544942,0.0744880616962287,0.0393032605197461,0.0116384811680818,29958.9645467938
