"","x"
"1",4.90399769641261
"2",5.42836602877023
"3",4.43187029686311
"4",4.64147400897745
"5",4.86330388853115
"6",4.36596346476222
"7",4.55160583388602
"8",4.45273225298851
"9",4.50505625804614
"10",4.54483672814828
"11",4.48110691105704
"12",4.42503256992402
"13",4.19845215267199
"14",4.7494998525778
"15",4.33695107505881
"16",4.26560624455761
"17",4.12376671250687
"18",4.16226562657474
"19",4.26457006515879
"20",4.10452008370588
"21",4.33982747282678
"22",4.3414057477965
"23",4.16246111352405
"24",4.04418961700302
"25",4.24050078710034
"26",4.16303343424111
"27",4.18779038641691
"28",4.10807395979078
"29",4.08881574181353
"30",4.12141094893513
"31",4.17884455085108
"32",4.17471210049688
"33",4.14665565833797
"34",4.07358674040035
"35",3.91541625018242
"36",4.0334735093286
"37",3.96803450317527
"38",3.85658929981178
"39",4.05991252246096
"40",3.85690266421718
"41",4.33230609261105
"42",4.00666519590248
"43",3.98214658656846
"44",4.50272003663171
"45",4.14667553522727
"46",3.94751285945492
"47",4.10243020803985
"48",4.22614503761304
"49",3.89486680454602
"50",4.10093512584349
"51",3.98142601313144
"52",3.87348966837826
"53",4.03061648257575
"54",3.87385966866144
"55",4.37870217193439
"56",4.05040234268657
"57",3.9606992421387
"58",3.86866785856437
"59",3.83177665607417
"60",3.84003230251198
"61",3.91344762922585
"62",3.88272471256809
"63",3.89672772916285
"64",4.02622233955245
"65",3.91558689585891
"66",3.88541236347281
"67",3.75974985545548
"68",3.94594944033031
"69",3.80128022945433
"70",3.83765836893694
"71",4.05527650978061
"72",3.73462452734783
"73",3.80942062901644
"74",3.86369529484721
"75",3.76420096147358
"76",3.9113278860171
"77",3.79369902358606
"78",3.95153841059704
"79",4.1708080217863
"80",3.93626135909882
"81",3.79884433224339
"82",3.82435475062456
"83",3.86683560528021
"84",3.92620288796349
"85",3.75293667479145
"86",4.00739693454874
"87",3.81549461558841
"88",3.73615778224292
"89",3.87203908122119
"90",3.82437357861995
"91",3.7192632854905
"92",3.82965927732055
"93",3.84128098797239
"94",3.69695073327209
"95",3.74847918479058
