"","alpha","beta[1]","beta[2]","beta[3]","beta[4]","beta[5]","sigma","lp__"
"1",-0.53239994497774,0.923065662222535,0.17819169873771,0.585690366791628,-0.109894148892106,-0.00560257103995798,0.205574729525469,1005.64349901212
"2",-0.521692601619556,0.920840725118199,0.173161331623357,0.572218884858884,-0.10271563453676,-0.00311451424342715,0.208443392962312,1005.86751978339
"3",-0.491573294231191,0.916231352483706,0.175272972589019,0.541585857647297,-0.0993667107580768,-0.00500006660885556,0.209815546023221,1005.69680700566
"4",-0.525150257612831,0.924140435393376,0.173908125605259,0.572634754845003,-0.106097252802662,-0.0040304603095386,0.208498471685992,1005.58082291805
"5",-0.430920693120282,0.918896136413097,0.150718643063539,0.478946149843677,-0.078549677908499,-0.00356418298858885,0.21129479313325,1003.59374992185
"6",-0.415619519019373,0.930038752744208,0.133713582125219,0.454263789269915,-0.0657062640241006,-0.0110736652674385,0.207902669700235,1000.70506500931
"7",-0.359065363445237,0.911525463274939,0.127148778800442,0.401873639926971,-0.0463074263846418,0.0019302105944312,0.209330957720978,999.383739634211
"8",-0.42751413986339,0.935541973297034,0.137663721491539,0.479291672680227,-0.0796525973241275,-0.010515216225477,0.223788106313316,1001.4141345453
"9",-0.433114716927613,0.941255230057355,0.134635971222644,0.472685560778139,-0.0805339290982442,-0.00712699002891382,0.216822198596857,1002.57805474297
"10",-0.473557294981456,0.909389399503766,0.169900705894167,0.525139836861576,-0.0876222262802849,-0.00369427254311778,0.203708138683129,1004.33106694973
"11",-0.363030390462986,0.938998402272185,0.114179907430164,0.390071893604777,-0.0552978271593572,-0.0043503601557419,0.21357434621569,1002.19923410679
"12",-0.419545635925615,0.923425817725888,0.14777490939816,0.464917691268021,-0.0768166590237806,-0.00729082076930763,0.212959541894093,1005.19542509814
"13",-0.465207734669058,0.91152394064193,0.167526508602638,0.516732617855067,-0.08746273243145,-0.00312299856993677,0.209221418284539,1005.46721287347
"14",-0.534196933210812,0.925651236975367,0.174382641567268,0.584050992952826,-0.110423096988207,-0.00120678996876595,0.209446105850937,1004.31051451292
"15",-0.53797978994645,0.923877184741164,0.174723709283543,0.590376715522502,-0.108187488258827,-0.00170244126848628,0.209431332636363,1004.53323584493
