"","beta.1.1","beta.2.1","beta.3.1","beta.4.1","beta.5.1","beta.6.1","beta.7.1","beta.8.1","beta.1.2","beta.2.2","beta.3.2","beta.4.2","beta.5.2","beta.6.2","beta.7.2","beta.8.2","beta.1.3","beta.2.3","beta.3.3","beta.4.3","beta.5.3","beta.6.3","beta.7.3","beta.8.3","beta.1.4","beta.2.4","beta.3.4","beta.4.4","beta.5.4","beta.6.4","beta.7.4","beta.8.4","beta.1.5","beta.2.5","beta.3.5","beta.4.5","beta.5.5","beta.6.5","beta.7.5","beta.8.5","beta.1.6","beta.2.6","beta.3.6","beta.4.6","beta.5.6","beta.6.6","beta.7.6","beta.8.6","sigma.1","sigma.2","sigma.3","sigma.4","sigma.5","sigma.6","sigma.7","sigma.8","lp__"
"1",-0.117461829720894,-0.19513669834068,-0.225341091872594,-0.145002107774404,-0.102893729212452,-0.0908702112449241,-0.0165262367355116,0.00207606111375317,0.996713049444998,1.01616402166374,1.03329942254134,1.01075024134466,0.996444661990681,1.00496341893182,0.994450766628405,0.99856057973721,-0.0553343591944343,-0.0461893776117791,-0.0533346376334619,-0.0668130001054151,-0.0645713044190151,-0.0416020498608107,-0.0245123958368983,-0.00717952915746534,-0.0785300252612382,-0.0467585585491586,-0.0370391711587928,-0.00461885657704188,0.0509837979522612,0.0174226833575284,0.0173362552900898,-0.00995965912557064,-0.08353545571281,-0.101610500464924,-0.097861340764271,-0.0611898222721917,-0.0296965462509609,-0.0176247556317139,-0.0204176510761227,0.000734603560199373,0.00520864088734498,0.0280019126143555,-0.00982212869791331,-0.0193142461906767,-0.00421712967527009,-0.000200956014957908,-0.0147658143614249,0.00222196412884649,0.221829491114806,0.183077977006169,0.17120132977796,0.148846573645573,0.119445087311286,0.089710369051831,0.0516629389270712,0.0153615509347026,27639.0914950139
"2",-0.0951070601808908,-0.118659552352716,-0.241360629060387,-0.112195471876285,-0.107893105083591,-0.101333040843921,-0.0262467090737461,0.00223432676250046,0.997990860683845,1.00090640838696,1.03358122493179,1.00418884965645,1.00386734173821,1.00549246656964,0.996804795211875,0.998505725947497,-0.0499283828825181,-0.0316091693504919,-0.0620730387420437,-0.0615158057567365,-0.0484849069452152,-0.0402216655255466,-0.0265114105166785,-0.00777752641783962,-0.18128985388659,-0.10691481925486,-0.0223736039992715,-0.0583544012896796,-0.021760248859962,0.0375467369865154,0.0250437264075855,-0.00761810854129764,-0.0694680618709695,-0.0852069611926177,-0.0804643461425452,-0.0612528701858138,-0.0176557532731996,-0.0141676392028663,-0.0192548565738865,0.000763029953494213,0.0266787288164293,0.00817181355836341,0.00201559765711677,-0.00330638271728473,0.0017976036508985,-0.00429416040590241,-0.0159933776381367,0.00237943112311947,0.222536527355507,0.182190357439621,0.168661963342316,0.147974121362892,0.121693503190209,0.0911795915581429,0.0528091782602045,0.014832004061177,27644.2413975365
"3",-0.172689232338578,-0.146432309018453,-0.192926341669437,-0.142250740641251,-0.10036345411359,-0.10113694591944,-0.0342392653007786,0.000373486570070961,1.00787282701576,1.00938618635471,1.02147557674007,1.00841608109506,1.00185300615117,1.00683657393952,0.997330092839222,0.998826047104544,-0.0793161166500015,-0.0353591149088035,-0.0544691206806572,-0.0815467513383685,-0.0498840512004418,-0.0371901471221064,-0.0265569874062927,-0.00725118046304653,-0.0128749788805072,-0.12386168712937,-0.0484981372311056,0.0157273339719005,-0.00563203335825192,0.024509439697936,0.0348859601372666,-0.00620201354040287,-0.0862342503212643,-0.076787781705321,-0.0890326494220856,-0.0604797818010362,-0.0273758561343874,-0.0124816979695763,-0.0131482347575436,0.00097460501637181,0.00246309788244168,0.0329928165557139,-0.000421167038780331,-0.00622726407418508,-0.00514830462786501,0.000627840872687981,-0.00953760443433964,0.00276057712261916,0.214373446881724,0.180016035380218,0.1719122756518,0.148499797298382,0.121047966852004,0.0905259367813368,0.0513721330514572,0.0152362954846738,27640.794937502
"4",-0.149414654510038,-0.128304806125848,-0.245665048211349,-0.187484369745737,-0.12191681771955,-0.0883694774537324,-0.0225327286624668,-0.000346327180345935,0.997898916982829,0.999036738737232,1.02510931134318,1.02124768821795,1.0044671129347,1.00383131867586,0.995978053664833,0.998573084716118,-0.0413119552621927,-0.0315366410416871,-0.0608460500046764,-0.0679160296402557,-0.0644936711413829,-0.0419301407208222,-0.0243736366379897,-0.00785341339886516,-0.0888876081595076,-0.0982876652402857,0.0340665157462879,0.0032440952361652,0.0184352615372994,0.0125924950243834,0.0236914579509649,-0.00198417094047368,-0.0760002145087339,-0.083210506053258,-0.0785312579089861,-0.0482059761941434,-0.0137726882729484,-0.0139636164121864,-0.0219241913843744,0.000977754532619029,0.0217528069833111,0.0223649494201865,0.00838752900927858,0.00663756930839574,0.00552778886358211,-0.00738750610724059,-0.0130139572386766,0.00297814608301161,0.212588173058782,0.182750336127165,0.169498027585764,0.143994146400814,0.11881921769367,0.0922416454206313,0.0515430541686224,0.0147722225610847,27639.3865474748
"5",-0.142019027143385,-0.177789957274405,-0.240857682611181,-0.18920077609409,-0.100523124517551,-0.0550421027736897,-0.0264829191617389,0.00142574692599634,1.00088381382292,1.01406536179204,1.03547355377509,1.01412773740366,0.995313488758329,0.996459028447336,0.996747117501267,0.998608991465581,-0.0584480023777093,-0.0367755852712485,-0.0763957270684573,-0.0636197703665701,-0.0452608360281289,-0.0370331422689174,-0.0298719044615175,-0.00766071260009273,-0.0548388911966811,-0.0771889385939024,-0.0302247388404911,0.0423826553210816,0.0349329701876069,-0.00600828596175857,0.0307600750473241,-0.00516629069768841,-0.078950369563447,-0.0896111001035224,-0.0694521747209571,-0.051674842672415,-0.0273213545648029,-0.02677010701407,-0.0215760789927307,-0.00115783958313297,-0.00157356077892824,0.0143374137610727,0.0140964865613057,0.0135882233336562,-0.00698594394602182,-0.0102740671203477,-0.0134630977975067,0.00188806199132452,0.223466854419624,0.186951367724926,0.16947982148261,0.147346212820873,0.117727452187371,0.0933704544416628,0.051611274002485,0.014967945314196,27642.7471920977
"6",-0.159240698631915,-0.131348791083995,-0.20340600169827,-0.140457390703889,-0.11928325171697,-0.0809669154135638,-0.00367893127039984,0.00276788249206696,0.999979651396251,1.00800068199272,1.02230067011633,1.00936693833246,1.00332376294496,0.997349420198824,0.990940276078944,0.998341365886372,-0.053200353490251,-0.0430796493198839,-0.0668477242433938,-0.0615211496282265,-0.0552211926898152,-0.0354005817385122,-0.0270651155728169,-0.00765405831956847,-0.0221216990010506,-0.118577927976405,-0.0174170206261388,-0.0260962971533914,0.0266228951761017,0.0401845161573772,0.0149410099449774,-0.0090454739501695,-0.0821953056998697,-0.104797342284335,-0.0860446216600534,-0.0433265202297463,-0.0318359133679724,-0.0179175573420621,-0.0228150515556999,0.00107756746139026,0.000995474078163175,0.0129811212339271,0.0103192265158742,-0.00354363900620741,-0.00484455042317052,0.00177639824605293,-0.0134403434148694,0.00148371372340037,0.222257831033906,0.181482411791742,0.169124720378102,0.146175005315232,0.121332334941124,0.0951840174933897,0.0524464840984187,0.014719803879193,27639.8519573577
"7",-0.174760866726742,-0.205979245857035,-0.246515313688852,-0.198595770812008,-0.142778105499464,-0.121102978429563,-0.0322132629447108,0.00392259042575453,1.0139496358573,1.02305303369459,1.02864339593079,1.01705965242501,1.00798921719783,1.00848372282841,0.996641378095296,0.998000479418872,-0.0577096888050693,-0.0386865015188206,-0.0597066964788102,-0.0607263950261289,-0.0581770993725641,-0.0404495562357432,-0.0285192709504808,-0.00674695176452991,-0.0791798607680908,-0.097719981105954,0.00880131659184098,0.0181395430593101,0.0442776938320463,0.0552401332963728,0.0338070636092469,-0.00776400237522573,-0.0819568930818044,-0.0841346502582354,-0.0765804406369094,-0.0456179460783793,-0.0239748176705915,-0.0050902253199484,-0.016459771073635,-0.000490728685054375,0.0171515745364429,0.0249884748306052,0.00750940570043925,0.00771866988089911,-0.00177253143171679,0.00201356034738927,-0.0104239149003167,0.00177760477723184,0.221584341291532,0.181683066101182,0.166839473044244,0.145626243291559,0.120206762909476,0.0913049266468509,0.0528699418295275,0.0146359647171961,27639.0745700395
"8",-0.177226449005227,-0.138477302498646,-0.245544065745316,-0.164963565334446,-0.12188135483524,-0.115797342165308,-0.027394167600359,0.00187385681186543,1.00144596222728,1.01195130772439,1.02437450111917,1.01541944013202,1.00403281221833,1.00956187904988,0.996097787249848,0.998171709987646,-0.0533912438757638,-0.0403583319143321,-0.0646308275900733,-0.0707251115780693,-0.0530258965713767,-0.0434634435232043,-0.0275276067696064,-0.00725612496595326,-0.0164489709552651,-0.139849986242039,0.0333149676703551,-0.001371096054309,0.0263004910611218,0.0495344750501105,0.0333133423853479,-0.00318732206972672,-0.0619481481178501,-0.0986007895364363,-0.0689999637117866,-0.0579001096918792,-0.018777550541771,-0.00632287114645369,-0.0226441558148876,7.71554443488867e-05,0.0203868033772459,0.0216271113992342,0.0107024716895646,-0.00742416976231404,-0.00805446535233292,0.000338871926667893,-0.0137305436600288,0.000936476703647115,0.222537778540241,0.179093395193683,0.169681456345624,0.146707525850396,0.121238825489737,0.0940625067159491,0.05116294858163,0.0150986925115252,27645.4554284726
"9",-0.149333242328477,-0.143831504782309,-0.202091969674849,-0.161505976072314,-0.156076875472048,-0.0694886335243195,-0.0267996793286461,0.00282792646204795,0.991128387789462,1.00374587928466,1.0221808603332,1.01145156206019,1.01171680244367,0.998309512147461,0.99387839562437,0.998844425025306,-0.0600749667638328,-0.0339737581585642,-0.059068815554868,-0.0770679459022113,-0.0573568664522218,-0.0369351298115021,-0.0278441561437505,-0.00850242814806603,-0.00193707081354536,-0.0844624974513734,-0.0479249684264818,0.0229024857763145,0.0485082040645249,0.00741024421255044,0.0427404083258715,-0.00807956598306865,-0.0793619736314874,-0.0927934854069462,-0.0889801015415387,-0.0448839023435253,-0.0180169616365482,-0.016105420806897,-0.0201659404496772,-0.000123029894154482,0.00899216017817338,0.0100308372534966,0.0106464710342499,0.00379716369296805,0.0120944733505789,0.00316162570957846,-0.0111426019677168,0.00118528506104256,0.223242488801332,0.181573596378211,0.172758778171968,0.147126728005278,0.119837167592959,0.091277635570483,0.0524963217794866,0.0153382087925308,27643.0526373369
"10",-0.106083021374052,-0.0680629884894944,-0.26660722601519,-0.14311252709709,-0.115661927037065,-0.0844928134454128,-0.0109255708318413,0.00315286785915815,0.997309425983048,0.989492419426562,1.03120281891116,1.01328103436888,0.997019034960442,0.999860211570642,0.991048362320959,0.998134787435966,-0.0601313877125976,-0.0289415707378028,-0.05294249098536,-0.0741437829287024,-0.0479672241300196,-0.03211196211562,-0.0245516546757041,-0.00674146688013042,-0.128055760833255,-0.168772873108967,0.00713128077731017,-0.0336771795673624,0.0523894399031936,0.037596551627617,0.0223739631377578,-0.00744307615170295,-0.0914797620709726,-0.0996712120838789,-0.0569714459762301,-0.0634077426639138,-0.0240244938726205,-0.0283152756931391,-0.0217822665713351,-0.000468031723299022,0.00801306040744019,0.0114688140473751,0.0268292493893386,0.0028392547629321,0.00144591880000006,-0.01138935110395,-0.0151527608621017,0.00199828956267452,0.219032194268778,0.180884437519721,0.169942265202586,0.146650726401881,0.119190499070242,0.0917972244442679,0.0520735610650013,0.0149775277164282,27641.5696671854
