dist,BL,M1,M2,M3,pcnt_M1,pcnt_M2,pcnt_M3
5K,30.636,24.341,24.359,24.357,0.205,0.205,0.205
10K,29.284,21.395,20.952,20.771,0.269,0.285,0.291
15K,27.111,18.98,17.767,17.549,0.3,0.345,0.353
20K,23.203,16.023,14.149,14.027,0.309,0.39,0.395
25K,17.241,12.73,10.588,10.575,0.262,0.386,0.387
30K,13.028,9.577,8.426,8.391,0.265,0.353,0.356
35K,7.477,6.11,5.097,5.117,0.183,0.318,0.316
40K,1.766,1.713,1.287,1.292,0.03,0.271,0.269
