,BL,M1,M2,M3,pcnt_BL,pcnt_M1,pcnt_M2,pcnt_M3
OVRL MAE,14.828,9.003,7.929,7.878,-,-,-,-
OVRL R^2,0.787,0.897,0.903,0.904,-,-,-,-
