dist,S1-size50,S2-size50,S3-size50,S4-size50,S1-size80,S2-size80,S3-size80,S4-size80,S1-size95,S2-size95,S3-size95,S4-size95
5K,28.097,27.935,28.115,27.893,53.901,53.555,53.883,53.509,83.795,83.221,83.762,83.241
10K,25.045,24.764,23.812,23.578,47.912,47.396,45.512,45.073,74.169,73.393,70.42,69.707
15K,22.712,22.414,20.613,20.322,43.402,42.837,39.331,38.774,66.989,66.155,60.672,59.75
20K,20.199,19.861,17.247,16.933,38.559,37.933,32.87,32.285,59.402,58.406,50.519,49.638
25K,16.956,16.605,14.134,13.919,32.319,31.634,26.933,26.527,49.705,48.617,41.316,40.662
30K,11.918,11.664,9.31,9.24,22.679,22.219,17.705,17.564,34.764,34.026,27.098,26.88
35K,7.261,7.074,5.198,5.161,13.79,13.447,9.872,9.808,21.067,20.565,15.08,14.982
40K,2.035,1.983,1.512,1.492,3.865,3.765,2.873,2.832,5.901,5.75,4.389,4.324
