,KS,CVM,Wilcoxon
S1-S2,0.0287,0.048,<0.0001
S1-S3,<0.0001,<0.0001,<0.0001
S1-S4,<0.0001,<0.0001,<0.0001
S1-S5,<0.0001,<0.0001,<0.0001
S2-S3,<0.0001,<0.0001,<0.0001
S2-S4,<0.0001,<0.0001,<0.0001
S2-S5,<0.0001,<0.0001,<0.0001
S3-S4,0.1018,0.0999,0.0002
S3-S5,0.1018,0.1013,0.0002
S4-S5,1.0,1.0,<0.0001
