dist,S1-size50,S2-size50,S3-size50,S4-size50,S1-size80,S2-size80,S3-size80,S4-size80,S1-size95,S2-size95,S3-size95,S4-size95
5K,33.84,33.662,33.829,33.603,64.926,64.608,64.988,64.502,101.255,100.696,101.264,100.572
10K,30.149,29.803,28.322,28.117,57.694,57.055,54.246,53.801,89.551,88.625,84.091,83.256
15K,26.835,26.486,23.735,23.382,51.381,50.601,45.36,44.647,79.402,78.101,69.975,68.859
20K,23.87,23.428,19.848,19.509,45.581,44.712,37.827,37.152,70.244,68.934,58.169,57.1
25K,19.503,19.038,15.877,15.639,37.114,36.238,30.231,29.781,57.122,55.735,46.353,45.664
30K,13.878,13.599,10.704,10.636,26.402,25.874,20.351,20.204,40.512,39.689,31.123,30.937
35K,8.17,7.969,5.797,5.749,15.524,15.137,11.015,10.928,23.761,23.133,16.834,16.717
40K,2.29,2.228,1.696,1.673,4.344,4.234,3.22,3.178,6.633,6.467,4.921,4.85
