dist,M1-in50,M2-in50,M3-in50,M1-in80,M2-in80,M3-in80,M1-in95,M2-in95,M3-in95
5K,0.473,0.462,0.476,0.719,0.706,0.725,0.87,0.861,0.871
10K,0.478,0.476,0.478,0.724,0.71,0.73,0.862,0.855,0.871
15K,0.498,0.504,0.519,0.756,0.74,0.781,0.881,0.87,0.895
20K,0.501,0.532,0.541,0.752,0.757,0.783,0.87,0.876,0.896
25K,0.545,0.58,0.582,0.794,0.802,0.817,0.897,0.901,0.915
30K,0.563,0.622,0.605,0.811,0.838,0.848,0.9,0.918,0.923
35K,0.581,0.613,0.597,0.818,0.821,0.822,0.906,0.904,0.905
40K,0.576,0.576,0.593,0.831,0.823,0.825,0.92,0.919,0.916
