,BL,M1,M2,M3,pcnt_BL,pcnt_M1,pcnt_M2,pcnt_M3
OVRL MAE,13.149,10.819,9.167,9.076,-,-,-,-
OVRL R^2,0.871,0.927,0.937,0.937,-,-,-,-
