,BL,M1,M2,M3,pcnt_BL,pcnt_M1,pcnt_M2,pcnt_M3
Overall RMSE,21.2,15.657,14.828,14.746,-,-,-,-
Overall R-squared,0.872,0.93,0.937,0.938,-,-,-,-
