dist,BL,M1,M2,M3,pcnt_M1,pcnt_M2,pcnt_M3
5K,32.072,22.343,22.339,22.102,0.303,0.303,0.311
10K,29.796,20.049,18.957,18.86,0.327,0.364,0.367
15K,27.239,18.168,16.943,16.883,0.333,0.378,0.38
20K,23.401,15.81,14.856,14.873,0.324,0.365,0.364
25K,19.497,13.247,12.697,12.657,0.321,0.349,0.351
30K,14.109,10.402,8.43,8.467,0.263,0.402,0.4
35K,7.668,6.297,4.798,4.826,0.179,0.374,0.371
40K,2.574,2.419,2.094,2.081,0.06,0.187,0.192
