,BL,M1,M2,M3,pcnt_BL,pcnt_M1,pcnt_M2,pcnt_M3
OVRL MAE,12.604,9.468,8.552,8.423,-,-,-,-
OVRL R^2,0.888,0.936,0.941,0.941,-,-,-,-
