dist,S1-in50,S2-in50,S3-in50,S4-in50,S1-in80,S2-in80,S3-in80,S4-in80,S1-in95,S2-in95,S3-in95,S4-in95
5K,0.487,0.49,0.486,0.488,0.787,0.791,0.79,0.79,0.939,0.939,0.939,0.937
10K,0.466,0.469,0.489,0.49,0.79,0.79,0.797,0.793,0.938,0.938,0.936,0.94
15K,0.478,0.478,0.501,0.515,0.807,0.801,0.826,0.827,0.941,0.941,0.941,0.943
20K,0.503,0.518,0.57,0.572,0.821,0.82,0.841,0.838,0.942,0.94,0.94,0.942
25K,0.537,0.545,0.613,0.621,0.848,0.846,0.888,0.882,0.947,0.946,0.956,0.957
30K,0.514,0.529,0.631,0.643,0.829,0.83,0.874,0.875,0.938,0.943,0.948,0.947
35K,0.546,0.566,0.655,0.661,0.842,0.843,0.88,0.884,0.944,0.945,0.943,0.943
40K,0.571,0.584,0.646,0.653,0.85,0.849,0.871,0.876,0.949,0.946,0.953,0.95
