,KS,Wilcoxon,CVM,AD
BL-M1,<0.0001,<0.0001,<0.0001,0.001
M1-M2,<0.0001,<0.0001,<0.0001,0.001
M2-M3,0.6033,0.0178,0.8585,0.25
