dist,M1-in50,M2-in50,M3-in50,M1-in80,M2-in80,M3-in80,M1-in95,M2-in95,M3-in95
5K,0.459,0.498,0.459,0.8,0.84,0.798,0.965,0.972,0.964
10K,0.457,0.527,0.478,0.782,0.857,0.791,0.967,0.969,0.962
15K,0.414,0.528,0.455,0.777,0.86,0.804,0.97,0.965,0.966
20K,0.479,0.588,0.553,0.796,0.857,0.834,0.967,0.957,0.952
25K,0.472,0.61,0.567,0.797,0.873,0.845,0.957,0.966,0.962
30K,0.455,0.614,0.579,0.783,0.88,0.858,0.953,0.963,0.963
35K,0.536,0.69,0.668,0.836,0.904,0.9,0.965,0.963,0.965
40K,0.534,0.698,0.709,0.842,0.908,0.909,0.957,0.97,0.97
