,BL,M1,M2,M3,pcnt_BL,pcnt_M1,pcnt_M2,pcnt_M3
Overall RMSE,20.51,15.578,14.745,14.769,-,-,-,-
Overall R-squared,0.888,0.935,0.942,0.942,-,-,-,-
