,KS,CVM,Wilcoxon
S1-S2,0.0924,0.1972,<0.0001
S1-S3,<0.0001,<0.0001,<0.0001
S1-S4,<0.0001,<0.0001,<0.0001
S1-S5,<0.0001,<0.0001,<0.0001
S2-S3,<0.0001,<0.0001,<0.0001
S2-S4,<0.0001,<0.0001,<0.0001
S2-S5,<0.0001,<0.0001,<0.0001
S3-S4,0.421,0.3469,0.021
S3-S5,0.4355,0.3494,0.0222
S4-S5,1.0,1.0,<0.0001
