,BL,M1,M2,M3,pcnt_BL,pcnt_M1,pcnt_M2,pcnt_M3
Overall RMSE,21.911,15.149,14.416,14.352,-,-,-,-
Overall R-squared,0.79,0.9,0.909,0.91,-,-,-,-
